TrialStart,S1_PlanTime,S2_PlanTime,S1_MoveTime,S2_MoveTime,S1_NMoves,S2_NMoves,TimeTarget,TimeNonTarget,NTargets,S1_MoveSTD,S2_MoveSTD,Feedback,Accuracy,Signal
17.7,3300.6,2347.5,4360.0,808.0,6,3,1178.5,485.38,1,1280.1,280.01,1,1,1.0
14646.0,3997.1,5241.5,2760.0,1624.0,3,3,359.1,632.45,1,953.12,306.83,2,0,1.0
32328.0,6957.0,1118.1,3688.0,1432.0,6,3,1183.2,458.2,1,1086.7,342.33,1,1,1.0
49359.0,4484.4,4619.7,2360.0,2516.0,2,3,1394.4,485.6,1,893.78,1048.2,1,1,1.0
67724.0,10015.0,2518.5,7848.0,2292.0,11,6,820.8,515.47,4,2361.9,696.02,1,1,3.0
94463.0,2907.2,14463.0,2048.0,3852.0,4,9,908.65,299.12,2,662.1,1318.9,1,1,3.0
121750.0,6391.0,2235.5,4960.0,748.0,8,3,1223.5,509.42,1,1341.9,264.25,1,1,1.0
140250.0,1686.4,9986.6,1944.0,4712.0,5,9,681.73,368.27,4,553.96,1479.0,1,1,3.0
162300.0,7159.6,2649.1,6232.0,2528.0,10,4,1123.2,433.39,2,1842.3,855.8,1,1,3.0
185460.0,2430.9,5281.9,1471.9,2331.9,2,5,1305.5,266.13,1,616.6,761.84,1,1,1.0
201400.0,9670.5,4369.3,5448.0,1983.9,11,4,377.5,439.61,2,1417.2,732.11,1,1,inf
227410.0,2728.2,9256.2,1432.0,2800.0,2,5,1349.8,336.73,1,514.77,880.78,1,1,1.0
247310.0,10860.0,2589.7,4000.0,1080.0,6,3,1220.2,612.95,1,1161.1,444.4,1,1,1.0
269830.0,3626.8,11907.0,1544.0,2996.0,3,7,339.07,398.27,3,543.08,886.56,1,1,9.0
294150.0,9356.1,2482.1,4216.0,888.0,5,2,567.0,995.0,1,1291.6,446.89,1,1,1.0
314710.0,1378.1,5225.4,1072.0,3968.4,3,7,1621.5,373.38,1,378.83,1197.6,1,1,1.0
330640.0,6438.5,2971.2,4704.0,2624.0,10,6,556.85,402.52,4,1494.0,770.96,1,1,3.0
351710.0,1783.8,8265.0,2272.0,2832.0,4,9,426.65,269.78,2,785.82,861.09,1,1,10.0
371140.0,9352.4,10020.0,3392.0,1492.0,6,3,942.1,412.48,1,998.15,537.32,1,1,1.0
399380.0,1682.5,34287.0,1472.0,2571.9,3,6,535.65,354.87,2,519.75,814.72,1,1,10.0
443900.0,8425.5,1363.8,3175.9,2888.0,5,1,1239.6,410.77,1,948.22,,2,0,1.0
463490.0,1797.5,11721.0,1128.0,2360.0,2,5,1082.2,273.93,1,435.58,742.98,1,1,1.0
484190.0,4723.6,2463.4,3512.0,752.0,6,3,1223.1,454.23,1,1123.3,268.16,1,1,6.0
499820.0,1414.6,6131.7,1472.0,2320.0,3,7,297.55,352.23,2,532.13,701.2,1,1,8.0
515700.0,4653.2,1338.5,2560.0,500.0,4,2,1211.1,494.45,1,826.73,209.3,1,1,1.0
528370.0,6599.9,25240.0,3560.0,4556.0,6,13,421.15,329.43,4,1055.6,1405.3,2,0,9.0
572740.0,94598.0,17523.0,6264.0,1675.9,14,5,509.57,420.73,3,1860.7,554.86,2,0,11.0
696610.0,6495.2,41539.0,2984.0,4236.0,6,13,300.32,307.34,4,942.62,1232.6,1,1,10.0
755610.0,29698.0,11946.0,3544.0,1764.0,6,3,390.8,736.8,2,979.86,721.3,1,1,10.0
806920.0,1881.2,13466.0,1408.0,2120.0,2,5,806.4,320.53,1,622.25,697.49,1,1,1.0
830360.0,18672.0,4949.7,4400.0,3012.1,10,5,423.27,431.03,3,1296.9,516.81,2,0,9.0
865600.0,2162.1,33950.0,2696.0,4476.0,6,14,428.44,262.73,5,702.68,1393.5,1,1,9.0
913480.0,7119.0,9078.3,3376.0,979.9,6,3,385.55,716.3,2,892.3,358.23,1,1,10.0
