MarkValue	File Time	Real Time	Channel	Ch Value	
Blank.png	210.156000	14:25:56.716	All	0.000000	
Blank.png	210.156000	14:25:56.716	All	0.000000	
+Dog2.png	212.185000	14:25:58.745	All	0.000000	
+Dog2.png	212.185000	14:25:58.745	All	0.000000	
Blank.png	214.258000	14:26:00.818	All	0.000000	
Blank.png	214.258000	14:26:00.818	All	0.000000	
+Baby2.jpg	216.294000	14:26:02.854	All	0.000000	
+Baby2.jpg	216.294000	14:26:02.854	All	0.000000	
Blank.png	218.329000	14:26:04.889	All	0.000000	
Blank.png	218.329000	14:26:04.889	All	0.000000	
Blank.png	255.329000	14:26:41.889	All	0.000000	
Blank.png	255.329000	14:26:41.889	All	0.000000	
+Dog2.png	257.357000	14:26:43.917	All	0.000000	
+Dog2.png	257.357000	14:26:43.917	All	0.000000	
Blank.png	259.425000	14:26:45.985	All	0.000000	
Blank.png	259.425000	14:26:45.985	All	0.000000	
+Baby2.jpg	261.466000	14:26:48.026	All	0.000000	
+Baby2.jpg	261.466000	14:26:48.026	All	0.000000	
Blank.png	263.508000	14:26:50.068	All	0.000000	
Blank.png	263.508000	14:26:50.068	All	0.000000	
Smile	353.459000	14:28:20.019	All	0.000000	
Neutral	369.139000	14:28:35.699	All	0.000000	
Frown	377.433000	14:28:43.993	All	0.000000	
Neutral	385.056000	14:28:51.616	All	0.000000	
Smile	392.428000	14:28:58.988	All	0.000000	
Neutral	398.777000	14:29:05.337	All	0.000000	
Frown	405.548000	14:29:12.108	All	0.000000	
Neutral	410.976000	14:29:17.536	All	0.000000	
Smile	420.044000	14:29:26.604	All	0.000000	
Neutral	425.804000	14:29:32.364	All	0.000000	
Frown	431.667000	14:29:38.227	All	0.000000	
Neutral	437.177000	14:29:43.737	All	0.000000	
Blank.png	475.222000	14:30:21.782	All	0.000000	
Blank.png	475.222000	14:30:21.782	All	0.000000	
+Dog2.png	477.257000	14:30:23.817	All	0.000000	
+Dog2.png	477.257000	14:30:23.817	All	0.000000	
Blank.png	479.337000	14:30:25.897	All	0.000000	
Blank.png	479.337000	14:30:25.897	All	0.000000	
+Baby2.jpg	481.372000	14:30:27.932	All	0.000000	
+Baby2.jpg	481.372000	14:30:27.932	All	0.000000	
Blank.png	483.407000	14:30:29.967	All	0.000000	
Blank.png	483.407000	14:30:29.967	All	0.000000	
-Spider2.jpg	485.449000	14:30:32.009	All	0.000000	
-Spider2.jpg	485.449000	14:30:32.009	All	0.000000	
Blank.png	487.497000	14:30:34.057	All	0.000000	
Blank.png	487.497000	14:30:34.057	All	0.000000	
+Friends2.jpg	489.532000	14:30:36.092	All	0.000000	
+Friends2.jpg	489.532000	14:30:36.092	All	0.000000	
Blank.png	491.580000	14:30:38.140	All	0.000000	
Blank.png	491.580000	14:30:38.140	All	0.000000	
-Snake.jpg	493.628000	14:30:40.188	All	0.000000	
-Snake.jpg	493.628000	14:30:40.188	All	0.000000	
Blank.png	495.695000	14:30:42.255	All	0.000000	
Blank.png	495.695000	14:30:42.255	All	0.000000	
+Dog1.jpg	497.730000	14:30:44.290	All	0.000000	
+Dog1.jpg	497.730000	14:30:44.290	All	0.000000	
Blank.png	499.772000	14:30:46.332	All	0.000000	
Blank.png	499.772000	14:30:46.332	All	0.000000	
-Dog1.jpg	501.801000	14:30:48.361	All	0.000000	
-Dog1.jpg	501.801000	14:30:48.361	All	0.000000	
Blank.png	503.881000	14:30:50.441	All	0.000000	
Blank.png	503.881000	14:30:50.441	All	0.000000	
+Cat2.jpg	505.921000	14:30:52.481	All	0.000000	
+Cat2.jpg	505.921000	14:30:52.481	All	0.000000	
Blank.png	507.970000	14:30:54.530	All	0.000000	
Blank.png	507.970000	14:30:54.530	All	0.000000	
-Dog2.jpg	510.012000	14:30:56.572	All	0.000000	
-Dog2.jpg	510.012000	14:30:56.572	All	0.000000	
Blank.png	512.054000	14:30:58.614	All	0.000000	
Blank.png	512.054000	14:30:58.614	All	0.000000	
-Spider1.jpg	514.089000	14:31:00.649	All	0.000000	
-Spider1.jpg	514.089000	14:31:00.649	All	0.000000	
Blank.png	516.130000	14:31:02.690	All	0.000000	
Blank.png	516.130000	14:31:02.690	All	0.000000	
+Dog3.jpg	518.172000	14:31:04.732	All	0.000000	
+Dog3.jpg	518.172000	14:31:04.732	All	0.000000	
Blank.png	520.220000	14:31:06.780	All	0.000000	
Blank.png	520.220000	14:31:06.780	All	0.000000	
-Face.jpg	522.262000	14:31:08.822	All	0.000000	
-Face.jpg	522.262000	14:31:08.822	All	0.000000	
Blank.png	524.310000	14:31:10.870	All	0.000000	
Blank.png	524.310000	14:31:10.870	All	0.000000	
+Friends1.jpg	526.351000	14:31:12.911	All	0.000000	
+Friends1.jpg	526.351000	14:31:12.911	All	0.000000	
Blank.png	528.393000	14:31:14.953	All	0.000000	
Blank.png	528.393000	14:31:14.953	All	0.000000	
-Spider3.jpg	530.428000	14:31:16.988	All	0.000000	
-Spider3.jpg	530.428000	14:31:16.988	All	0.000000	
Blank.png	532.476000	14:31:19.036	All	0.000000	
Blank.png	532.476000	14:31:19.036	All	0.000000	
+Baby1.jpg	534.511000	14:31:21.071	All	0.000000	
+Baby1.jpg	534.511000	14:31:21.071	All	0.000000	
Blank.png	536.553000	14:31:23.113	All	0.000000	
Blank.png	536.553000	14:31:23.113	All	0.000000	
-Cut.jpg	538.601000	14:31:25.161	All	0.000000	
-Cut.jpg	538.601000	14:31:25.161	All	0.000000	
Blank.png	540.630000	14:31:27.190	All	0.000000	
Blank.png	540.630000	14:31:27.190	All	0.000000	
-Gun.jpg	542.665000	14:31:29.225	All	0.000000	
-Gun.jpg	542.665000	14:31:29.225	All	0.000000	
Blank.png	544.668000	14:31:31.228	All	0.000000	
Blank.png	544.668000	14:31:31.228	All	0.000000	
+Cat-Dog.jpg	546.703000	14:31:33.263	All	0.000000	
+Cat-Dog.jpg	546.703000	14:31:33.263	All	0.000000	
Blank.png	548.758000	14:31:35.318	All	0.000000	
Blank.png	548.758000	14:31:35.318	All	0.000000	
-Sore.jpg	550.793000	14:31:37.353	All	0.000000	
-Sore.jpg	550.793000	14:31:37.353	All	0.000000	
Blank.png	552.847000	14:31:39.407	All	0.000000	
Blank.png	552.847000	14:31:39.407	All	0.000000	
+Cat1.jpg	554.882000	14:31:41.442	All	0.000000	
+Cat1.jpg	554.882000	14:31:41.442	All	0.000000	
Blank.png	556.943000	14:31:43.503	All	0.000000	
Blank.png	556.943000	14:31:43.503	All	0.000000	
