TimeOfDay	Time	Pulse	Skin Conductance	Heart Rate
21:22:28.670	0	0.00155463	8.43933e-07	92.3077
21:22:28.680	0.01	-0.0190987	3.23617e-05	92.3077
21:22:28.690	0.02	-0.0225419	0.000195435	92.3077
21:22:28.700	0.03	-0.029661	0.000657124	92.3077
21:22:28.710	0.04	-0.0403912	0.00169844	92.3077
21:22:28.720	0.05	-0.0626067	0.00372891	92.3077
21:22:28.730	0.06	-0.0961512	0.0072825	92.3077
21:22:28.740	0.07	-0.127912	0.0130081	92.3077
21:22:28.750	0.08	-0.152846	0.0216565	92.3077
21:22:28.760	0.09	-0.160299	0.0340656	92.3077
21:22:28.770	0.1	-0.15877	0.0511514	92.3077
21:22:28.780	0.11	-0.14509	0.0740294	92.3077
21:22:28.790	0.12	-0.147358	0.104241	92.3077
21:22:28.800	0.13	-0.153764	0.143775	92.3077
21:22:28.810	0.14	-0.151709	0.195012	92.3077
21:22:28.820	0.15	-0.150359	0.26066	92.3077
21:22:28.830	0.16	-0.149671	0.343697	92.3077
21:22:28.840	0.17	-0.147579	0.447328	92.3077
21:22:28.850	0.18	-0.142811	0.574929	92.3077
21:22:28.860	0.19	-0.127106	0.730007	92.3077
21:22:28.870	0.2	-0.101534	0.91616	92.3077
21:22:28.880	0.21	-0.079564	1.13704	92.3077
21:22:28.890	0.22	-0.0582986	1.39631	92.3077
21:22:28.900	0.23	-0.0369103	1.69764	92.3077
21:22:28.910	0.24	-0.0168799	2.04465	92.3077
21:22:28.920	0.25	-0.0240996	2.44088	92.3077
21:22:28.930	0.26	-0.0458297	2.88982	92.3077
21:22:28.940	0.27	-0.0530012	3.39481	92.3077
21:22:28.950	0.28	-0.0541621	3.95909	92.3077
21:22:28.960	0.29	-0.034545	4.58575	92.3077
21:22:28.970	0.3	0.00591599	5.27774	92.3077
21:22:28.980	0.31	0.0334812	6.03783	92.3077
21:22:28.990	0.32	0.0489498	6.86859	92.3077
21:22:29.000	0.33	0.0551987	7.77244	92.3077
21:22:29.010	0.34	0.0459964	8.75159	92.3077
21:22:29.020	0.35	0.0221527	9.80805	92.3077
21:22:29.030	0.36	-0.00322747	10.9436	92.3077
21:22:29.040	0.37	-0.0214403	12.1599	92.3077
21:22:29.050	0.38	-0.0308998	13.4583	92.3077
21:22:29.060	0.39	-0.0383944	14.84	92.3077
21:22:29.070	0.4	-0.0317807	16.3059	92.3077
21:22:29.080	0.41	-0.0369291	17.8568	92.3077
21:22:29.090	0.42	-0.0395206	19.4933	92.3077
21:22:29.100	0.43	-0.0361918	21.2157	92.3077
21:22:29.110	0.44	-0.022012	23.0242	92.3077
21:22:29.120	0.45	-0.0005644	24.9187	92.3077
