MarkValue	File Time	Real Time	Channel	Ch Value	
1	79.870000	21:23:48.540	All	0.000000	
2	84.650000	21:23:53.320	All	0.000000	
3	90.780000	21:23:59.450	All	0.000000	
4	94.560000	21:24:03.230	All	0.000000	
5	99.920000	21:24:08.590	All	0.000000	
6	103.360000	21:24:12.030	All	0.000000	
7	107.960000	21:24:16.630	All	0.000000	
8	112.160000	21:24:20.830	All	0.000000	
9	117.280000	21:24:25.950	All	0.000000	
10	121.040000	21:24:29.710	All	0.000000	
11	126.570000	21:24:35.240	All	0.000000	
12	129.850000	21:24:38.520	All	0.000000	
13	133.210000	21:24:41.880	All	0.000000	
14	137.840000	21:24:46.510	All	0.000000	
15	143.040000	21:24:51.710	All	0.000000	
16	146.650000	21:24:55.320	All	0.000000	
17	149.660000	21:24:58.330	All	0.000000	
18	152.680000	21:25:01.350	All	0.000000	
19	159.400000	21:25:08.070	All	0.000000	
20	163.690000	21:25:12.360	All	0.000000	
21	167.640000	21:25:16.310	All	0.000000	
22	171.000000	21:25:19.670	All	0.000000	
23	180.890000	21:25:29.560	All	0.000000	
24	187.850000	21:25:36.520	All	0.000000	
25	190.970000	21:25:39.640	All	0.000000	
26	195.000000	21:25:43.670	All	0.000000	
27	198.520000	21:25:47.190	All	0.000000	
28	206.330000	21:25:55.000	All	0.000000	
29	209.770000	21:25:58.440	All	0.000000	
30	213.310000	21:26:01.980	All	0.000000	
31	301.079000	21:27:29.749	All	0.000000	
32	304.839000	21:27:33.509	All	0.000000	
33	308.119000	21:27:36.789	All	0.000000	
34	311.379000	21:27:40.049	All	0.000000	
35	314.489000	21:27:43.159	All	0.000000	
36	317.769000	21:27:46.439	All	0.000000	
37	321.779000	21:27:50.449	All	0.000000	
38	325.219000	21:27:53.889	All	0.000000	
39	329.019000	21:27:57.689	All	0.000000	
40	332.279000	21:28:00.949	All	0.000000	
41	335.129000	21:28:03.799	All	0.000000	
42	341.259000	21:28:09.929	All	0.000000	
43	344.699000	21:28:13.369	All	0.000000	
44	347.899000	21:28:16.569	All	0.000000	
45	354.699000	21:28:23.369	All	0.000000	
46	357.719000	21:28:26.389	All	0.000000	
47	361.079000	21:28:29.749	All	0.000000	
48	364.539000	21:28:33.209	All	0.000000	
49	367.879000	21:28:36.549	All	0.000000	
50	371.639000	21:28:40.309	All	0.000000	
51	374.679000	21:28:43.349	All	0.000000	
52	378.119000	21:28:46.789	All	0.000000	
53	381.299000	21:28:49.969	All	0.000000	
54	384.919000	21:28:53.589	All	0.000000	
55	388.179000	21:28:56.849	All	0.000000	
56	392.059000	21:29:00.729	All	0.000000	
57	396.739000	21:29:05.409	All	0.000000	
58	400.099000	21:29:08.769	All	0.000000	
59	403.299000	21:29:11.969	All	0.000000	
60	407.589000	21:29:16.259	All	0.000000	
61	530.690000	21:31:19.360	All	0.000000	
62	534.220000	21:31:22.890	All	0.000000	
63	537.150000	21:31:25.820	All	0.000000	
64	540.250000	21:31:28.920	All	0.000000	
65	542.940000	21:31:31.610	All	0.000000	
66	546.220000	21:31:34.890	All	0.000000	
67	549.580000	21:31:38.250	All	0.000000	
68	552.940000	21:31:41.610	All	0.000000	
69	555.890000	21:31:44.560	All	0.000000	
70	559.390000	21:31:48.060	All	0.000000	
71	564.690000	21:31:53.360	All	0.000000	
72	568.030000	21:31:56.700	All	0.000000	
73	572.140000	21:32:00.810	All	0.000000	
74	575.760000	21:32:04.430	All	0.000000	
75	579.710000	21:32:08.380	All	0.000000	
76	583.730000	21:32:12.400	All	0.000000	
77	587.340000	21:32:16.010	All	0.000000	
78	591.610000	21:32:20.280	All	0.000000	
79	594.140000	21:32:22.810	All	0.000000	
80	599.090000	21:32:27.760	All	0.000000	
81	603.290000	21:32:31.960	All	0.000000	
82	607.150000	21:32:35.820	All	0.000000	
83	609.760000	21:32:38.430	All	0.000000	
84	613.450000	21:32:42.120	All	0.000000	
85	616.400000	21:32:45.070	All	0.000000	
86	619.840000	21:32:48.510	All	0.000000	
87	622.850000	21:32:51.520	All	0.000000	
88	626.640000	21:32:55.310	All	0.000000	
89	630.000000	21:32:58.670	All	0.000000	
90	634.270000	21:33:02.940	All	0.000000	
