TimeOfDay	Time	Pulse	Skin Conductance	Heart Rate
12:43:01.878	0	-0.0991778	366.298	666.667
12:43:01.888	0.01	-0.211727	366.298	666.667
12:43:01.898	0.02	-0.280986	366.298	666.667
12:43:01.908	0.03	-0.274713	366.295	666.667
12:43:01.918	0.04	-0.275151	366.29	666.667
12:43:01.928	0.05	-0.240258	366.279	666.667
12:43:01.938	0.06	-0.125972	366.262	666.667
12:43:01.948	0.07	0.00878506	366.236	666.667
12:43:01.958	0.08	0.0109703	366.2	666.667
12:43:01.968	0.09	0.00232802	366.153	666.667
12:43:01.978	0.1	-0.003442	366.094	666.667
12:43:01.988	0.11	-0.0400913	366.021	666.667
12:43:01.998	0.12	0.0342384	365.933	666.667
12:43:02.008	0.13	0.0512191	365.83	666.667
12:43:02.018	0.14	-0.0197716	365.711	666.667
12:43:02.028	0.15	-0.0841695	365.575	666.667
12:43:02.038	0.16	-0.121328	365.421	666.667
12:43:02.048	0.17	-0.139823	365.249	666.667
12:43:02.058	0.18	-0.169064	365.058	666.667
12:43:02.068	0.19	-0.170864	364.848	666.667
12:43:02.078	0.2	-0.160784	364.619	666.667
12:43:02.088	0.21	-0.140798	364.371	666.667
12:43:02.098	0.22	-0.163394	364.103	666.667
12:43:02.108	0.23	-0.16918	363.816	666.667
12:43:02.118	0.24	-0.132235	363.509	666.667
12:43:02.128	0.25	-0.112307	363.182	666.667
12:43:02.138	0.26	-0.148878	362.836	666.667
12:43:02.148	0.27	-0.18854	362.471	666.667
12:43:02.158	0.28	-0.117144	362.087	666.667
12:43:02.168	0.29	-0.018496	361.684	666.667
12:43:02.178	0.3	0.110586	361.262	666.667
12:43:02.188	0.31	0.177823	360.823	666.667
12:43:02.198	0.32	0.153601	360.365	666.667
12:43:02.208	0.33	0.158463	359.891	666.667
12:43:02.218	0.34	0.0414061	359.4	666.667
12:43:02.228	0.35	-0.124209	358.893	666.667
12:43:02.238	0.36	-0.17358	358.37	666.667
12:43:02.248	0.37	-0.116955	357.831	666.667
12:43:02.258	0.38	-0.00506596	357.279	666.667
12:43:02.268	0.39	0.130834	356.712	666.667
12:43:02.278	0.4	0.257842	356.132	666.667
12:43:02.288	0.41	0.302048	355.539	666.667
12:43:02.298	0.42	0.236285	354.934	666.667
12:43:02.308	0.43	0.164081	354.318	666.667
12:43:02.318	0.44	0.050476	353.691	666.667
12:43:02.328	0.45	-0.0175441	353.054	666.667
12:43:02.338	0.46	0.00514183	352.407	666.667
12:43:02.348	0.47	0.0245945	351.752	666.667
12:43:02.358	0.48	0.0893988	351.089	666.667
12:43:02.368	0.49	0.230786	350.418	666.667
12:43:02.378	0.5	0.272428	349.741	101.695
12:43:02.388	0.51	0.095797	349.058	101.695
12:43:02.398	0.52	-0.0128233	348.369	101.695
12:43:02.408	0.53	-0.0715113	347.676	101.695
12:43:02.418	0.54	-0.125595	346.978	101.695
12:43:02.428	0.55	-0.116906	346.278	101.695
12:43:02.438	0.56	-0.129373	345.575	101.695
12:43:02.448	0.57	-0.0983121	344.869	101.695
12:43:02.458	0.58	-0.0318152	344.162	101.695
12:43:02.468	0.59	0.0369661	343.455	101.695
12:43:02.478	0.6	0.0125595	342.747	101.695
12:43:02.488	0.61	-0.152495	342.04	101.695
12:43:02.498	0.62	-0.299408	341.333	101.695
12:43:02.508	0.63	-0.467337	340.628	101.695
12:43:02.518	0.64	-0.537971	339.925	101.695
12:43:02.528	0.65	-0.442077	339.225	101.695
12:43:02.538	0.66	-0.211009	338.528	101.695
12:43:02.548	0.67	0.0111254	337.834	101.695
12:43:02.558	0.68	0.0295826	337.145	101.695
12:43:02.568	0.69	-0.156223	336.46	101.695
12:43:02.578	0.7	-0.352567	335.78	101.695
12:43:02.588	0.71	-0.45002	335.105	101.695
12:43:02.598	0.72	-0.439474	334.436	101.695
12:43:02.608	0.73	-0.372925	333.774	101.695
12:43:02.618	0.74	-0.224466	333.118	101.695
12:43:02.628	0.75	-0.0674782	332.468	101.695
12:43:02.638	0.76	-0.13655	331.827	101.695
12:43:02.648	0.77	-0.193717	331.193	101.695
12:43:02.658	0.78	-0.232782	330.566	101.695
12:43:02.668	0.79	-0.345863	329.948	101.695
12:43:02.678	0.8	-0.52394	329.339	101.695
12:43:02.688	0.81	-0.596693	328.738	101.695
12:43:02.698	0.82	-0.566054	328.146	101.695
12:43:02.708	0.83	-0.421021	327.563	101.695
12:43:02.718	0.84	-0.25584	326.99	101.695
12:43:02.728	0.85	-0.173392	326.426	101.695
12:43:02.738	0.86	-0.133304	325.872	101.695
12:43:02.748	0.87	-0.164828	325.328	101.695
12:43:02.758	0.88	-0.131729	324.794	101.695
12:43:02.768	0.89	-0.108145	324.27	101.695
12:43:02.778	0.9	-0.209227	323.756	101.695
12:43:02.788	0.91	-0.308139	323.253	101.695
12:43:02.798	0.92	-0.311824	322.76	101.695
12:43:02.808	0.93	-0.284306	322.277	101.695
12:43:02.818	0.94	-0.194416	321.806	101.695
12:43:02.828	0.95	-0.024954	321.344	101.695
12:43:02.838	0.96	0.0922767	320.894	101.695
12:43:02.848	0.97	-0.0587479	320.454	101.695
12:43:02.858	0.98	-0.250265	320.024	101.695
12:43:02.868	0.99	-0.257555	319.606	101.695
12:43:02.878	1	-0.242735	319.197	101.695
12:43:02.888	1.01	-0.498523	318.8	101.695
12:43:02.898	1.02	-0.631777	318.413	101.695
12:43:02.908	1.03	-0.499439	318.036	101.695
12:43:02.918	1.04	-0.292301	317.67	101.695
12:43:02.928	1.05	-0.0755237	317.314	101.695
12:43:02.938	1.06	0.144493	316.969	101.695
12:43:02.948	1.07	0.223661	316.633	101.695
12:43:02.958	1.08	0.279262	316.308	101.695
12:43:02.968	1.09	0.324753	315.993	750
12:43:02.978	1.1	0.207796	315.687	750
12:43:02.988	1.11	0.0826171	315.392	750
12:43:02.998	1.12	-0.000558692	315.106	750
12:43:03.008	1.13	0.00300002	314.829	750
12:43:03.018	1.14	0.0555887	314.562	750
12:43:03.028	1.15	0.15764	314.304	750
12:43:03.038	1.16	0.268793	314.055	750
12:43:03.048	1.17	0.305752	313.815	600
12:43:03.058	1.18	0.259229	313.584	600
12:43:03.068	1.19	0.146254	313.362	600
12:43:03.078	1.2	0.0852695	313.148	600
12:43:03.088	1.21	-0.0415107	312.942	600
12:43:03.098	1.22	-0.133623	312.745	600
12:43:03.108	1.23	-0.11428	312.555	600
12:43:03.118	1.24	-0.00123789	312.374	600
12:43:03.128	1.25	0.139984	312.2	600
12:43:03.138	1.26	0.293557	312.033	600
12:43:03.148	1.27	0.45085	311.874	750
12:43:03.158	1.28	0.41847	311.722	750
12:43:03.168	1.29	0.261493	311.577	750
12:43:03.178	1.3	0.136	311.439	750
12:43:03.188	1.31	0.11829	311.307	750
12:43:03.198	1.32	0.176339	311.182	750
12:43:03.208	1.33	0.230078	311.063	750
12:43:03.218	1.34	0.306408	310.95	750
12:43:03.228	1.35	0.367629	310.844	600
12:43:03.238	1.36	0.347963	310.742	600
12:43:03.248	1.37	0.294646	310.647	600
12:43:03.258	1.38	0.246634	310.557	600
12:43:03.268	1.39	0.178422	310.472	600
12:43:03.278	1.4	0.120102	310.392	600
12:43:03.288	1.41	0.0576416	310.317	600
12:43:03.298	1.42	0.0787507	310.247	600
12:43:03.308	1.43	0.159735	310.182	600
12:43:03.318	1.44	0.248792	310.121	600
12:43:03.328	1.45	0.332023	310.064	272.727
12:43:03.338	1.46	0.192559	310.011	272.727
12:43:03.348	1.47	0.0217127	309.963	272.727
12:43:03.358	1.48	0.0085788	309.918	272.727
12:43:03.368	1.49	-0.0179168	309.877	272.727
12:43:03.378	1.5	-0.0197382	309.839	272.727
12:43:03.388	1.51	0.014532	309.805	272.727
12:43:03.398	1.52	0.0306264	309.774	272.727
12:43:03.408	1.53	0.0369159	309.746	272.727
12:43:03.418	1.54	0.0597575	309.721	272.727
12:43:03.428	1.55	0.0595129	309.699	272.727
12:43:03.438	1.56	0.0356689	309.68	272.727
12:43:03.448	1.57	0.0609363	309.664	272.727
12:43:03.458	1.58	0.0843866	309.65	272.727
12:43:03.468	1.59	0.12452	309.638	272.727
12:43:03.478	1.6	0.116915	309.629	272.727
12:43:03.488	1.61	0.0710679	309.621	272.727
12:43:03.498	1.62	0.0578773	309.616	272.727
12:43:03.508	1.63	0.0902213	309.613	272.727
12:43:03.518	1.64	0.137363	309.612	272.727
12:43:03.528	1.65	0.244272	309.612	272.727
12:43:03.538	1.66	0.394944	309.614	272.727
12:43:03.548	1.67	0.411063	309.618	666.667
12:43:03.558	1.68	0.279724	309.623	666.667
12:43:03.568	1.69	0.146999	309.629	666.667
12:43:03.578	1.7	-0.0189353	309.637	666.667
12:43:03.588	1.71	-0.0925657	309.646	666.667
12:43:03.598	1.72	-0.0467636	309.656	666.667
12:43:03.608	1.73	0.0680911	309.668	666.667
12:43:03.618	1.74	0.209446	309.68	666.667
12:43:03.628	1.75	0.320647	309.693	666.667
12:43:03.638	1.76	0.394499	309.707	93.75
12:43:03.648	1.77	0.387188	309.722	93.75
12:43:03.658	1.78	0.267075	309.737	93.75
12:43:03.668	1.79	0.10645	309.754	93.75
12:43:03.678	1.8	-0.0218438	309.77	93.75
12:43:03.688	1.81	-0.0466297	309.788	93.75
12:43:03.698	1.82	-0.00787574	309.806	93.75
12:43:03.708	1.83	0.0437297	309.824	93.75
12:43:03.718	1.84	0.114764	309.842	93.75
12:43:03.728	1.85	0.160793	309.861	93.75
12:43:03.738	1.86	0.144267	309.881	93.75
12:43:03.748	1.87	0.129042	309.9	93.75
12:43:03.758	1.88	-0.00501617	309.92	93.75
12:43:03.768	1.89	-0.0862641	309.94	93.75
12:43:03.778	1.9	-0.0484508	309.96	93.75
12:43:03.788	1.91	0.002008	309.98	93.75
12:43:03.798	1.92	0.0432752	310	93.75
12:43:03.808	1.93	0.107479	310.02	93.75
12:43:03.818	1.94	0.179128	310.04	93.75
12:43:03.828	1.95	0.164655	310.061	93.75
12:43:03.838	1.96	0.0850984	310.081	93.75
12:43:03.848	1.97	0.0562735	310.101	93.75
12:43:03.858	1.98	0.0559781	310.12	93.75
12:43:03.868	1.99	0.0378332	310.14	93.75
12:43:03.878	2	-0.0225317	310.16	93.75
12:43:03.887	2.01	-0.0492435	310.179	93.75
12:43:03.898	2.02	-0.0428247	310.198	93.75
12:43:03.907	2.03	-0.0377799	310.217	93.75
12:43:03.918	2.04	0.0241212	310.236	93.75
12:43:03.928	2.05	0.0360565	310.254	93.75
12:43:03.938	2.06	-0.00145961	310.272	93.75
12:43:03.948	2.07	0.0354306	310.29	93.75
12:43:03.958	2.08	0.0897543	310.308	93.75
12:43:03.968	2.09	0.0703555	310.325	93.75
12:43:03.978	2.1	-0.00710147	310.342	93.75
12:43:03.988	2.11	-0.0686207	310.358	93.75
12:43:03.998	2.12	-0.130947	310.375	93.75
12:43:04.008	2.13	-0.157	310.391	93.75
12:43:04.018	2.14	-0.160074	310.406	93.75
12:43:04.028	2.15	-0.167037	310.421	93.75
12:43:04.038	2.16	-0.20557	310.436	93.75
12:43:04.048	2.17	-0.310186	310.451	93.75
12:43:04.058	2.18	-0.364721	310.465	93.75
12:43:04.068	2.19	-0.358771	310.479	93.75
12:43:04.078	2.2	-0.29793	310.492	93.75
