MarkValue	File Time	Real Time	Channel	Ch Value	
1	41.320000	12:43:43.198	All	0.000000	
2	45.260000	12:43:47.138	All	0.000000	
1	70.870000	12:44:12.748	All	0.000000	
2	74.470000	12:44:16.348	All	0.000000	
3	80.260000	12:44:22.138	All	0.000000	
4	83.880000	12:44:25.758	All	0.000000	
5	88.150000	12:44:30.028	All	0.000000	
6	92.100000	12:44:33.978	All	0.000000	
7	95.880000	12:44:37.758	All	0.000000	
8	99.740000	12:44:41.618	All	0.000000	
9	104.440000	12:44:46.318	All	0.000000	
10	109.140000	12:44:51.018	All	0.000000	
11	112.740000	12:44:54.618	All	0.000000	
12	116.700000	12:44:58.578	All	0.000000	
13	119.980000	12:45:01.858	All	0.000000	
14	124.420000	12:45:06.298	All	0.000000	
15	128.790000	12:45:10.668	All	0.000000	
16	132.490000	12:45:14.368	All	0.000000	
17	136.260000	12:45:18.138	All	0.000000	
18	140.890000	12:45:22.768	All	0.000000	
19	144.740000	12:45:26.618	All	0.000000	
20	148.760000	12:45:30.638	All	0.000000	
21	152.970000	12:45:34.848	All	0.000000	
22	156.900000	12:45:38.778	All	0.000000	
23	158.760000	12:45:40.638	All	0.000000	
24	164.140000	12:45:46.018	All	0.000000	
25	167.400000	12:45:49.278	All	0.000000	
26	171.510000	12:45:53.388	All	0.000000	
27	174.280000	12:45:56.158	All	0.000000	
28	178.310000	12:46:00.188	All	0.000000	
29	181.160000	12:46:03.038	All	0.000000	
30	184.620000	12:46:06.498	All	0.000000	
31	259.778000	12:47:21.656	All	0.000000	
32	263.728000	12:47:25.606	All	0.000000	
33	266.658000	12:47:28.536	All	0.000000	
34	270.188000	12:47:32.066	All	0.000000	
35	272.958000	12:47:34.836	All	0.000000	
36	276.818000	12:47:38.696	All	0.000000	
37	279.418000	12:47:41.296	All	0.000000	
38	283.538000	12:47:45.416	All	0.000000	
39	286.128000	12:47:48.006	All	0.000000	
40	290.668000	12:47:52.546	All	0.000000	
41	293.438000	12:47:55.316	All	0.000000	
42	297.968000	12:47:59.846	All	0.000000	
43	299.978000	12:48:01.856	All	0.000000	
44	304.448000	12:48:06.326	All	0.000000	
45	306.618000	12:48:08.496	All	0.000000	
46	311.148000	12:48:13.026	All	0.000000	
47	314.848000	12:48:16.726	All	0.000000	
48	319.058000	12:48:20.936	All	0.000000	
49	321.488000	12:48:23.366	All	0.000000	
50	326.108000	12:48:27.986	All	0.000000	
51	328.878000	12:48:30.756	All	0.000000	
52	333.068000	12:48:34.946	All	0.000000	
53	335.758000	12:48:37.636	All	0.000000	
54	339.538000	12:48:41.416	All	0.000000	
55	342.218000	12:48:44.096	All	0.000000	
56	346.178000	12:48:48.056	All	0.000000	
57	348.448000	12:48:50.326	All	0.000000	
58	352.298000	12:48:54.176	All	0.000000	
59	354.818000	12:48:56.696	All	0.000000	
60	358.508000	12:49:00.386	All	0.000000	
61	504.622000	12:51:26.500	All	0.000000	
62	508.582000	12:51:30.460	All	0.000000	
63	510.832000	12:51:32.710	All	0.000000	
64	514.862000	12:51:36.740	All	0.000000	
65	517.892000	12:51:39.770	All	0.000000	
66	522.262000	12:51:44.140	All	0.000000	
67	525.862000	12:51:47.740	All	0.000000	
68	529.892000	12:51:51.770	All	0.000000	
69	532.162000	12:51:54.040	All	0.000000	
70	536.272000	12:51:58.150	All	0.000000	
71	538.702000	12:52:00.580	All	0.000000	
72	542.462000	12:52:04.340	All	0.000000	
73	544.912000	12:52:06.790	All	0.000000	
74	548.852000	12:52:10.730	All	0.000000	
75	551.712000	12:52:13.590	All	0.000000	
76	556.322000	12:52:18.200	All	0.000000	
77	559.012000	12:52:20.890	All	0.000000	
78	563.142000	12:52:25.020	All	0.000000	
79	565.492000	12:52:27.370	All	0.000000	
80	569.342000	12:52:31.220	All	0.000000	
81	571.872000	12:52:33.750	All	0.000000	
82	576.822000	12:52:38.700	All	0.000000	
83	580.022000	12:52:41.900	All	0.000000	
84	583.872000	12:52:45.750	All	0.000000	
85	586.302000	12:52:48.180	All	0.000000	
86	588.992000	12:52:50.870	All	0.000000	
87	595.021000	12:52:56.899	All	0.000000	
88	599.392000	12:53:01.270	All	0.000000	
89	602.342000	12:53:04.220	All	0.000000	
90	606.532000	12:53:08.410	All	0.000000	
