TimeOfDay	Time	Pulse	Skin Conductance	Heart Rate
12:20:58.153	0	-0.0503731	1.16023e-05	58.8235
12:20:58.163	0.01	-0.050257	0.000464576	58.8235
12:20:58.173	0.02	-0.0408888	0.00288005	58.8235
12:20:58.183	0.03	-0.0182928	0.00939253	58.8235
12:20:58.193	0.04	0.00049598	0.0224898	58.8235
12:20:58.203	0.05	0.0127973	0.0449529	58.8235
12:20:58.213	0.06	0.0258612	0.0798056	58.8235
12:20:58.223	0.07	0.0348552	0.130266	58.8235
12:20:58.233	0.08	0.0373747	0.199705	58.8235
12:20:58.243	0.09	0.0281667	0.291604	58.8235
12:20:58.253	0.1	0.00884064	0.409517	58.8235
12:20:58.263	0.11	-0.0127306	0.557042	58.8235
12:20:58.273	0.12	-0.0381199	0.737784	58.8235
12:20:58.283	0.13	-0.0657211	0.95533	58.8235
12:20:58.293	0.14	-0.0736669	1.21322	58.8235
12:20:58.303	0.15	-0.0661839	1.51494	58.8235
12:20:58.313	0.16	-0.054906	1.86387	58.8235
12:20:58.323	0.17	-0.0421683	2.26329	58.8235
12:20:58.333	0.18	-0.030152	2.71636	58.8235
12:20:58.343	0.19	-0.0274277	3.2261	58.8235
12:20:58.353	0.2	-0.0354057	3.79537	58.8235
12:20:58.363	0.21	-0.02842	4.4269	58.8235
12:20:58.373	0.22	-0.0109198	5.12322	58.8235
12:20:58.383	0.23	-0.00366989	5.88667	58.8235
12:20:58.393	0.24	-0.00261736	6.71945	58.8235
12:20:58.403	0.25	-0.000665934	7.62352	58.8235
12:20:58.413	0.26	0.00289109	8.60068	58.8235
12:20:58.423	0.27	0.00817825	9.65252	58.8235
12:20:58.433	0.28	0.00888366	10.7804	58.8235
12:20:58.443	0.29	-0.000189917	11.9856	58.8235
12:20:58.453	0.3	-0.00804315	13.2691	58.8235
12:20:58.463	0.31	-0.0071948	14.6316	58.8235
12:20:58.473	0.32	-0.00290837	16.0737	58.8235
12:20:58.483	0.33	0.00180379	17.596	58.8235
12:20:58.493	0.34	0.00503682	19.1985	58.8235
12:20:58.503	0.35	-0.00110478	20.8813	58.8235
12:20:58.513	0.36	-0.0124803	22.6443	58.8235
12:20:58.523	0.37	-0.0253419	24.4871	58.8235
12:20:58.533	0.38	-0.0324117	26.4092	58.8235
12:20:58.543	0.39	-0.0318428	28.4099	58.8235
12:20:58.553	0.4	-0.0208332	30.4885	58.8235
12:20:58.563	0.41	-0.00377161	32.6439	58.8235
12:20:58.573	0.42	0.0044746	34.875	58.8235
12:20:58.583	0.43	0.000596301	37.1805	58.8235
12:20:58.593	0.44	-0.00822469	39.559	58.8235
12:20:58.603	0.45	-0.0244942	42.009	58.8235
12:20:58.613	0.46	-0.0428235	44.5287	58.8235
12:20:58.623	0.47	-0.0553529	47.1164	58.8235
12:20:58.633	0.48	-0.0585302	49.7703	58.8235
12:20:58.643	0.49	-0.0661248	52.4883	58.8235
12:20:58.653	0.5	-0.0667241	55.2683	58.8235
12:20:58.663	0.51	-0.0515162	58.1082	58.8235
12:20:58.673	0.52	-0.0384122	61.0057	58.8235
12:20:58.683	0.53	-0.0177318	63.9585	58.8235
12:20:58.693	0.54	0.00244625	66.9643	58.8235
12:20:58.703	0.55	0.0153761	70.0205	58.8235
12:20:58.713	0.56	0.0175778	73.1247	58.8235
12:20:58.723	0.57	-0.0027669	76.2744	58.8235
12:20:58.733	0.58	-0.0265652	79.4669	58.8235
12:20:58.743	0.59	-0.0416218	82.6997	58.8235
12:20:58.753	0.6	-0.0541594	85.9701	58.8235
12:20:58.763	0.61	-0.0617537	89.2754	58.8235
12:20:58.773	0.62	-0.0638913	92.6131	58.8235
12:20:58.783	0.63	-0.057651	95.9803	58.8235
12:20:58.793	0.64	-0.0450362	99.3744	58.8235
12:20:58.803	0.65	-0.0189556	102.793	58.8235
12:20:58.813	0.66	0.0209771	106.233	58.8235
12:20:58.823	0.67	0.0611177	109.691	58.8235
12:20:58.833	0.68	0.100025	113.166	58.8235
12:20:58.843	0.69	0.12964	116.655	58.8235
12:20:58.853	0.7	0.144867	120.154	58.8235
12:20:58.863	0.71	0.150692	123.662	58.8235
12:20:58.873	0.72	0.153243	127.176	58.8235
12:20:58.883	0.73	0.142706	130.693	58.8235
12:20:58.893	0.74	0.115997	134.211	58.8235
12:20:58.903	0.75	0.0809525	137.727	58.8235
12:20:58.913	0.76	0.0379012	141.24	58.8235
12:20:58.923	0.77	-0.014529	144.746	58.8235
12:20:58.933	0.78	-0.0610935	148.243	58.8235
12:20:58.943	0.79	-0.0836331	151.73	58.8235
12:20:58.953	0.8	-0.0815369	155.203	58.8235
12:20:58.963	0.81	-0.0738152	158.662	58.8235
12:20:58.973	0.82	-0.0588554	162.103	58.8235
12:20:58.983	0.83	-0.0441015	165.525	58.8235
12:20:58.993	0.84	-0.0266127	168.926	58.8235
12:20:59.003	0.85	-0.0141915	172.304	58.8235
12:20:59.013	0.86	-0.00813455	175.657	58.8235
12:20:59.023	0.87	-0.00506329	178.984	58.8235
12:20:59.033	0.88	-0.00231402	182.282	58.8235
12:20:59.043	0.89	0.00863854	185.55	58.8235
12:20:59.053	0.9	0.0320261	188.787	58.8235
12:20:59.063	0.91	0.0532311	191.991	58.8235
12:20:59.073	0.92	0.0559883	195.161	58.8235
12:20:59.083	0.93	0.0406234	198.295	58.8235
12:20:59.093	0.94	0.0108581	201.392	58.8235
12:20:59.103	0.95	-0.0275315	204.451	58.8235
12:20:59.113	0.96	-0.04743	207.47	58.8235
12:20:59.123	0.97	-0.0463654	210.449	58.8235
12:20:59.133	0.98	-0.0354421	213.387	58.8235
12:20:59.143	0.99	-0.014844	216.282	58.8235
12:20:59.153	1	0.0120117	219.135	58.8235
12:20:59.163	1.01	0.0376342	221.943	58.8235
12:20:59.173	1.02	0.0588515	224.706	58.8235
12:20:59.183	1.03	0.076157	227.424	58.8235
12:20:59.193	1.04	0.0877566	230.096	58.8235
12:20:59.203	1.05	0.0907908	232.721	58.8235
12:20:59.213	1.06	0.0826659	235.299	58.8235
12:20:59.223	1.07	0.0614756	237.83	58.8235
12:20:59.233	1.08	0.0264325	240.313	58.8235
12:20:59.243	1.09	-0.0218858	242.747	58.8235
12:20:59.253	1.1	-0.0642442	245.133	58.8235
12:20:59.263	1.11	-0.0945375	247.47	58.8235
12:20:59.273	1.12	-0.114937	249.758	58.8235
12:20:59.283	1.13	-0.116887	251.997	58.8235
12:20:59.293	1.14	-0.0991304	254.187	58.8235
12:20:59.303	1.15	-0.0694617	256.328	58.8235
12:20:59.313	1.16	-0.0323705	258.42	58.8235
12:20:59.323	1.17	-0.00598335	260.463	58.8235
12:20:59.333	1.18	0.00208647	262.456	58.8235
12:20:59.343	1.19	-0.00433008	264.402	58.8235
12:20:59.353	1.2	-0.0179093	266.298	58.8235
12:20:59.363	1.21	-0.0298321	268.147	58.8235
12:20:59.373	1.22	-0.0399802	269.947	58.8235
12:20:59.383	1.23	-0.0507786	271.7	58.8235
