MarkValue	File Time	Real Time	Channel	Ch Value	
test	46.970000	12:21:45.123	All	0.000000	
1	66.780000	12:22:04.933	All	0.000000	
1	79.960000	12:22:18.113	All	0.000000	
2	84.410000	12:22:22.563	All	0.000000	
3	130.250000	12:23:08.403	All	0.000000	
4	134.110000	12:23:12.263	All	0.000000	
5	139.640000	12:23:17.793	All	0.000000	
6	143.180000	12:23:21.333	All	0.000000	
7	149.310000	12:23:27.463	All	0.000000	
8	153.260000	12:23:31.413	All	0.000000	
9	176.410000	12:23:54.563	All	0.000000	
10	180.700000	12:23:58.853	All	0.000000	
11	186.320000	12:24:04.473	All	0.000000	
12	190.350000	12:24:08.503	All	0.000000	
13	195.800000	12:24:13.953	All	0.000000	
14	199.240000	12:24:17.393	All	0.000000	
15	208.240000	12:24:26.393	All	0.000000	
16	211.840000	12:24:29.993	All	0.000000	
17	220.830000	12:24:38.983	All	0.000000	
18	224.520000	12:24:42.673	All	0.000000	
19	234.510000	12:24:52.663	All	0.000000	
20	238.280000	12:24:56.433	All	0.000000	
21	242.480000	12:25:00.633	All	0.000000	
22	246.170000	12:25:04.323	All	0.000000	
23	250.620000	12:25:08.773	All	0.000000	
24	254.060000	12:25:12.213	All	0.000000	
25	258.750000	12:25:16.903	All	0.000000	
26	263.120000	12:25:21.273	All	0.000000	
27	268.570000	12:25:26.723	All	0.000000	
28	272.350000	12:25:30.503	All	0.000000	
29	277.630000	12:25:35.783	All	0.000000	
30	281.320000	12:25:39.473	All	0.000000	
31	569.669000	12:30:27.822	All	0.000000	
32	573.709000	12:30:31.862	All	0.000000	
33	580.169000	12:30:38.322	All	0.000000	
34	583.868000	12:30:42.021	All	0.000000	
35	591.509000	12:30:49.662	All	0.000000	
36	595.029000	12:30:53.182	All	0.000000	
37	598.809000	12:30:56.962	All	0.000000	
38	602.509000	12:31:00.662	All	0.000000	
39	606.199000	12:31:04.352	All	0.000000	
40	610.139000	12:31:08.292	All	0.000000	
41	613.419000	12:31:11.572	All	0.000000	
42	617.529000	12:31:15.682	All	0.000000	
43	622.389000	12:31:20.542	All	0.000000	
44	626.169000	12:31:24.322	All	0.000000	
45	630.279000	12:31:28.432	All	0.000000	
46	633.719000	12:31:31.872	All	0.000000	
47	638.599000	12:31:36.752	All	0.000000	
48	642.199000	12:31:40.352	All	0.000000	
49	645.819000	12:31:43.972	All	0.000000	
50	649.589000	12:31:47.742	All	0.000000	
51	653.959000	12:31:52.112	All	0.000000	
52	657.399000	12:31:55.552	All	0.000000	
53	661.349000	12:31:59.502	All	0.000000	
54	665.389000	12:32:03.542	All	0.000000	
55	668.409000	12:32:06.562	All	0.000000	
56	671.929000	12:32:10.082	All	0.000000	
57	675.129000	12:32:13.282	All	0.000000	
58	678.489000	12:32:16.642	All	0.000000	
59	681.669000	12:32:19.822	All	0.000000	
60	684.699000	12:32:22.852	All	0.000000	
61	797.488000	12:34:15.641	All	0.000000	
62	801.418000	12:34:19.571	All	0.000000	
63	807.048000	12:34:25.201	All	0.000000	
64	810.648000	12:34:28.801	All	0.000000	
65	814.608000	12:34:32.761	All	0.000000	
66	818.218000	12:34:36.371	All	0.000000	
67	822.408000	12:34:40.561	All	0.000000	
68	825.338000	12:34:43.491	All	0.000000	
69	828.858000	12:34:47.011	All	0.000000	
70	832.298000	12:34:50.451	All	0.000000	
71	836.328000	12:34:54.481	All	0.000000	
72	840.028000	12:34:58.181	All	0.000000	
73	843.048000	12:35:01.201	All	0.000000	
74	846.238000	12:35:04.391	All	0.000000	
75	850.938000	12:35:09.091	All	0.000000	
76	854.558000	12:35:12.711	All	0.000000	
77	858.328000	12:35:16.481	All	0.000000	
78	861.688000	12:35:19.841	All	0.000000	
79	865.628000	12:35:23.781	All	0.000000	
80	869.328000	12:35:27.481	All	0.000000	
81	872.608000	12:35:30.761	All	0.000000	
82	876.208000	12:35:34.361	All	0.000000	
83	880.568000	12:35:38.721	All	0.000000	
84	885.278000	12:35:43.431	All	0.000000	
85	888.808000	12:35:46.961	All	0.000000	
86	892.667000	12:35:50.820	All	0.000000	
87	897.628000	12:35:55.781	All	0.000000	
88	901.488000	12:35:59.641	All	0.000000	
89	904.328000	12:36:02.481	All	0.000000	
90	907.948000	12:36:06.101	All	0.000000	
