MarkValue	File Time	Real Time	Channel	Ch Value	
Blank	500.435000	10:53:20.645	All	0.000000	
+Baby2	505.475000	10:53:25.685	All	0.000000	
Blank	510.499000	10:53:30.709	All	0.000000	
-Spider2	515.539000	10:53:35.749	All	0.000000	
Blank	520.595000	10:53:40.805	All	0.000000	
+Friends2	525.627000	10:53:45.837	All	0.000000	
Blank	530.675000	10:53:50.885	All	0.000000	
-Snake	535.707000	10:53:55.917	All	0.000000	
Blank	540.755000	10:54:00.965	All	0.000000	
+Dog1	545.787000	10:54:05.997	All	0.000000	
Blank	550.815000	10:54:11.025	All	0.000000	
-Dog1	555.830000	10:54:16.040	All	0.000000	
Blank	560.835000	10:54:21.045	All	0.000000	
+Cat2	565.867000	10:54:26.077	All	0.000000	
Blank	570.899000	10:54:31.109	All	0.000000	
-Dog2	575.939000	10:54:36.149	All	0.000000	
Blank	580.979000	10:54:41.189	All	0.000000	
-Spider1	586.027000	10:54:46.237	All	0.000000	
Blank	591.067000	10:54:51.277	All	0.000000	
+Dog3	596.107000	10:54:56.317	All	0.000000	
Blank	601.147000	10:55:01.357	All	0.000000	
-Face	606.187000	10:55:06.397	All	0.000000	
Blank	611.227000	10:55:11.437	All	0.000000	
+Friends1	616.267000	10:55:16.477	All	0.000000	
Blank	621.307000	10:55:21.517	All	0.000000	
-Spider3	626.259000	10:55:26.469	All	0.000000	
Blank	631.299000	10:55:31.509	All	0.000000	
+Baby1	636.347000	10:55:36.557	All	0.000000	
Blank	641.387000	10:55:41.597	All	0.000000	
-Cut	646.355000	10:55:46.565	All	0.000000	
Blank	651.403000	10:55:51.613	All	0.000000	
-Gun	656.435000	10:55:56.645	All	0.000000	
Blank	661.491000	10:56:01.701	All	0.000000	
+Cat-Dog	666.531000	10:56:06.741	All	0.000000	
Blank	671.563000	10:56:11.773	All	0.000000	
-Sore	676.611000	10:56:16.821	All	0.000000	
Blank	681.635000	10:56:21.845	All	0.000000	
+Cat1	686.675000	10:56:26.885	All	0.000000	
Blank	691.715000	10:56:31.925	All	0.000000	
