MarkValue	File Time	Real Time	Channel	Ch Value	
Blank.png	761.319000	10:47:42.658	All	0.000000	
+Dog2.png	766.423000	10:47:47.762	All	0.000000	
Blank.png	771.447000	10:47:52.786	All	0.000000	
+Baby2.jpg	776.471000	10:47:57.810	All	0.000000	
Blank.png	781.495000	10:48:02.834	All	0.000000	
-Spider2.jpg	786.503000	10:48:07.842	All	0.000000	
Blank.png	791.543000	10:48:12.882	All	0.000000	
+Friends2.jpg	796.615000	10:48:17.954	All	0.000000	
Blank.png	801.655000	10:48:22.994	All	0.000000	
-Snake.jpg	806.743000	10:48:28.082	All	0.000000	
Blank.png	811.815000	10:48:33.154	All	0.000000	
+Dog1.jpg	816.823000	10:48:38.162	All	0.000000	
Blank.png	821.831000	10:48:43.170	All	0.000000	
-Dog1.jpg	826.967000	10:48:48.306	All	0.000000	
Blank.png	831.991000	10:48:53.330	All	0.000000	
+Cat2.jpg	837.063000	10:48:58.402	All	0.000000	
Blank.png	842.167000	10:49:03.506	All	0.000000	
-Dog2.jpg	847.255000	10:49:08.594	All	0.000000	
Blank.png	852.327000	10:49:13.666	All	0.000000	
-Spider1.jpg	857.383000	10:49:18.722	All	0.000000	
Blank.png	862.439000	10:49:23.778	All	0.000000	
+Dog3.jpg	867.399000	10:49:28.738	All	0.000000	
Blank.png	872.535000	10:49:33.874	All	0.000000	
-Face.jpg	877.527000	10:49:38.866	All	0.000000	
Blank.png	882.551000	10:49:43.890	All	0.000000	
+Friends1.jpg	887.559000	10:49:48.898	All	0.000000	
Blank.png	892.695000	10:49:54.034	All	0.000000	
-Spider3.jpg	897.799000	10:49:59.138	All	0.000000	
Blank.png	902.887000	10:50:04.226	All	0.000000	
+Baby1.jpg	907.894000	10:50:09.233	All	0.000000	
Blank.png	912.958000	10:50:14.297	All	0.000000	
-Cut.jpg	917.986000	10:50:19.325	All	0.000000	
Blank.png	923.047000	10:50:24.386	All	0.000000	
-Gun.jpg	928.151000	10:50:29.490	All	0.000000	
Blank.png	933.191000	10:50:34.530	All	0.000000	
+Cat-Dog.jpg	938.306000	10:50:39.645	All	0.000000	
Blank.png	943.367000	10:50:44.706	All	0.000000	
-Sore.jpg	948.471000	10:50:49.810	All	0.000000	
Blank.png	953.431000	10:50:54.770	All	0.000000	
+Cat1.jpg	958.503000	10:50:59.842	All	0.000000	
Blank.png	963.463000	10:51:04.802	All	0.000000	
