MarkValue	File Time	Real Time	Channel	Ch Value	
Smile	418.896000	20:44:01.832	All	0.000000	
Smile	451.051000	20:44:33.987	All	0.000000	
Smile	493.478000	20:45:16.414	All	0.000000	
Neutral	500.398000	20:45:23.334	All	0.000000	
Frown	510.462000	20:45:33.398	All	0.000000	
Neutral	519.422000	20:45:42.358	All	0.000000	
Smile	551.686000	20:46:14.622	All	0.000000	
Neutral	558.086000	20:46:21.022	All	0.000000	
Frown	563.790000	20:46:26.726	All	0.000000	
Neutral	570.798000	20:46:33.734	All	0.000000	
Blank	673.179000	20:48:16.115	All	0.000000	
+Dog2	678.211000	20:48:21.147	All	0.000000	
Blank	679.227000	20:48:22.163	All	0.000000	
Blank	679.739000	20:48:22.675	All	0.000000	
+Dog2	684.771000	20:48:27.707	All	0.000000	
Blank	689.779000	20:48:32.715	All	0.000000	
+Baby2	694.803000	20:48:37.739	All	0.000000	
Blank	699.827000	20:48:42.763	All	0.000000	
Blank	699.907000	20:48:42.843	All	0.000000	
Blank	700.939000	20:48:43.875	All	0.000000	
Blank	800.820000	20:50:23.756	All	0.000000	
Blank	808.092000	20:50:31.028	All	0.000000	
+Dog2	813.100000	20:50:36.036	All	0.000000	
Blank	818.148000	20:50:41.084	All	0.000000	
+Baby2	823.188000	20:50:46.124	All	0.000000	
Blank	828.228000	20:50:51.164	All	0.000000	
-Spider2	833.268000	20:50:56.204	All	0.000000	
Blank	838.308000	20:51:01.244	All	0.000000	
+Friends2	843.356000	20:51:06.292	All	0.000000	
Blank	848.404000	20:51:11.340	All	0.000000	
-Snake	853.452000	20:51:16.388	All	0.000000	
Blank	858.420000	20:51:21.356	All	0.000000	
+Dog1	863.460000	20:51:26.396	All	0.000000	
Blank	868.516000	20:51:31.452	All	0.000000	
-Dog1	873.564000	20:51:36.500	All	0.000000	
Blank	878.588000	20:51:41.524	All	0.000000	
+Cat2	883.644000	20:51:46.580	All	0.000000	
Blank	888.692000	20:51:51.628	All	0.000000	
-Dog2	893.740000	20:51:56.676	All	0.000000	
Blank	898.780000	20:52:01.716	All	0.000000	
-Spider1	903.820000	20:52:06.756	All	0.000000	
Blank	908.860000	20:52:11.796	All	0.000000	
+Dog3	913.908000	20:52:16.844	All	0.000000	
Blank	918.956000	20:52:21.892	All	0.000000	
-Face	923.996000	20:52:26.932	All	0.000000	
Blank	929.044000	20:52:31.980	All	0.000000	
+Friends1	934.084000	20:52:37.020	All	0.000000	
Blank	939.132000	20:52:42.068	All	0.000000	
-Spider3	944.172000	20:52:47.108	All	0.000000	
Blank	949.228000	20:52:52.164	All	0.000000	
+Baby1	954.276000	20:52:57.212	All	0.000000	
Blank	959.236000	20:53:02.172	All	0.000000	
-Cut	964.292000	20:53:07.228	All	0.000000	
Blank	969.340000	20:53:12.276	All	0.000000	
-Gun	974.380000	20:53:17.316	All	0.000000	
Blank	979.436000	20:53:22.372	All	0.000000	
+Cat-Dog	984.484000	20:53:27.420	All	0.000000	
Blank	989.532000	20:53:32.468	All	0.000000	
-Sore	994.588000	20:53:37.524	All	0.000000	
Blank	999.636000	20:53:42.572	All	0.000000	
+Cat1	1004.676000	20:53:47.612	All	0.000000	
Blank	1009.724000	20:53:52.660	All	0.000000	
