MarkValue	File Time	Real Time	Channel	Ch Value	
Smile	5.536000	10:51:29.556	All	0.000000	
Neutral	11.256000	10:51:35.276	All	0.000000	
Frown	16.472000	10:51:40.492	All	0.000000	
Neutral	23.312000	10:51:47.332	All	0.000000	
Smile	28.008000	10:51:52.028	All	0.000000	
Neutral	33.648000	10:51:57.668	All	0.000000	
Frown	37.832000	10:52:01.852	All	0.000000	
Neutral	43.872000	10:52:07.892	All	0.000000	
Smile	48.656000	10:52:12.676	All	0.000000	
Neutral	54.888000	10:52:18.908	All	0.000000	
Frown	57.536000	10:52:21.556	All	0.000000	
Neutral	64.288000	10:52:28.308	All	0.000000	
Blank	197.338000	10:54:41.358	All	0.000000	
+Dog2	202.370000	10:54:46.390	All	0.000000	
Blank	207.394000	10:54:51.414	All	0.000000	
+Baby2	212.426000	10:54:56.446	All	0.000000	
Blank	217.474000	10:55:01.494	All	0.000000	
-Spider2	222.522000	10:55:06.542	All	0.000000	
Blank	227.570000	10:55:11.590	All	0.000000	
+Friends2	232.626000	10:55:16.646	All	0.000000	
Blank	237.658000	10:55:21.678	All	0.000000	
-Snake	242.682000	10:55:26.702	All	0.000000	
Blank	247.730000	10:55:31.750	All	0.000000	
+Dog1	252.778000	10:55:36.798	All	0.000000	
Blank	257.826000	10:55:41.846	All	0.000000	
-Dog1	262.857000	10:55:46.877	All	0.000000	
Blank	267.898000	10:55:51.918	All	0.000000	
+Cat2	272.946000	10:55:56.966	All	0.000000	
Blank	277.994000	10:56:02.014	All	0.000000	
-Dog2	283.042000	10:56:07.062	All	0.000000	
Blank	288.090000	10:56:12.110	All	0.000000	
-Spider1	293.146000	10:56:17.166	All	0.000000	
Blank	298.106000	10:56:22.126	All	0.000000	
+Dog3	303.162000	10:56:27.182	All	0.000000	
Blank	308.186000	10:56:32.206	All	0.000000	
-Face	313.234000	10:56:37.254	All	0.000000	
Blank	318.282000	10:56:42.302	All	0.000000	
+Friends1	323.330000	10:56:47.350	All	0.000000	
Blank	328.377000	10:56:52.397	All	0.000000	
-Spider3	333.338000	10:56:57.358	All	0.000000	
Blank	338.394000	10:57:02.414	All	0.000000	
+Baby1	343.442000	10:57:07.462	All	0.000000	
Blank	348.490000	10:57:12.510	All	0.000000	
-Cut	353.530000	10:57:17.550	All	0.000000	
Blank	358.578000	10:57:22.598	All	0.000000	
-Gun	363.626000	10:57:27.646	All	0.000000	
Blank	368.682000	10:57:32.702	All	0.000000	
+Cat-Dog	373.714000	10:57:37.734	All	0.000000	
Blank	378.754000	10:57:42.774	All	0.000000	
-Sore	383.794000	10:57:47.814	All	0.000000	
Blank	388.842000	10:57:52.862	All	0.000000	
+Cat1	393.898000	10:57:57.918	All	0.000000	
Blank	398.938000	10:58:02.958	All	0.000000	
