MarkValue	File Time	Real Time	Channel	Ch Value	
Smile	56.952000	10:56:01.150	All	0.000000	
Neutral	78.112000	10:56:22.310	All	0.000000	
Frown	93.640000	10:56:37.838	All	0.000000	
Neutral	103.032000	10:56:47.230	All	0.000000	
Smile	123.072000	10:57:07.270	All	0.000000	
Neutral	130.735000	10:57:14.933	All	0.000000	
Frown	138.400000	10:57:22.598	All	0.000000	
Neutral	146.168000	10:57:30.366	All	0.000000	
Blank	262.106000	10:59:26.304	All	0.000000	
+Dog2	267.138000	10:59:31.336	All	0.000000	
Blank	272.162000	10:59:36.360	All	0.000000	
+Baby2	277.202000	10:59:41.400	All	0.000000	
Blank	282.242000	10:59:46.440	All	0.000000	
-Spider2	287.290000	10:59:51.488	All	0.000000	
Blank	292.322000	10:59:56.520	All	0.000000	
+Friends2	297.362000	11:00:01.560	All	0.000000	
Blank	302.394000	11:00:06.592	All	0.000000	
-Snake	307.426000	11:00:11.624	All	0.000000	
Blank	312.466000	11:00:16.664	All	0.000000	
+Dog1	317.517000	11:00:21.715	All	0.000000	
Blank	322.610000	11:00:26.808	All	0.000000	
-Dog1	327.650000	11:00:31.848	All	0.000000	
Blank	332.690000	11:00:36.888	All	0.000000	
+Cat2	337.722000	11:00:41.920	All	0.000000	
Blank	342.770000	11:00:46.968	All	0.000000	
-Dog2	347.810000	11:00:52.008	All	0.000000	
Blank	352.850000	11:00:57.048	All	0.000000	
-Spider1	357.882000	11:01:02.080	All	0.000000	
Blank	362.906000	11:01:07.104	All	0.000000	
+Dog3	367.946000	11:01:12.144	All	0.000000	
Blank	372.986000	11:01:17.184	All	0.000000	
-Face	378.026000	11:01:22.224	All	0.000000	
Blank	383.058000	11:01:27.256	All	0.000000	
+Friends1	388.090000	11:01:32.288	All	0.000000	
Blank	393.121000	11:01:37.319	All	0.000000	
-Spider3	398.162000	11:01:42.360	All	0.000000	
Blank	403.202000	11:01:47.400	All	0.000000	
+Baby1	408.234000	11:01:52.432	All	0.000000	
Blank	413.282000	11:01:57.480	All	0.000000	
-Cut	418.306000	11:02:02.504	All	0.000000	
Blank	423.346000	11:02:07.544	All	0.000000	
-Gun	428.370000	11:02:12.568	All	0.000000	
Blank	433.410000	11:02:17.608	All	0.000000	
+Cat-Dog	438.522000	11:02:22.720	All	0.000000	
Blank	443.562000	11:02:27.760	All	0.000000	
-Sore	448.594000	11:02:32.792	All	0.000000	
Blank	453.634000	11:02:37.832	All	0.000000	
+Cat1	458.666000	11:02:42.864	All	0.000000	
Blank	463.714000	11:02:47.912	All	0.000000	
