MarkValue	File Time	Real Time	Channel	Ch Value	
Smile	563.472000	10:50:59.847	All	0.000000	
smile	568.088000	10:51:04.463	All	0.000000	
smile	606.304000	10:51:42.679	All	0.000000	
smile	606.816000	10:51:43.191	All	0.000000	
smile	682.448000	10:52:58.823	All	0.000000	
neutral	696.368000	10:53:12.743	All	0.000000	
frown	720.184000	10:53:36.559	All	0.000000	
neutral	726.504000	10:53:42.879	All	0.000000	
smile	752.824000	10:54:09.199	All	0.000000	
neutral	758.200000	10:54:14.575	All	0.000000	
frown	764.104000	10:54:20.479	All	0.000000	
neutral	771.624000	10:54:27.999	All	0.000000	
smile	781.528000	10:54:37.903	All	0.000000	
neutral	787.512000	10:54:43.887	All	0.000000	
frown	791.616000	10:54:47.991	All	0.000000	
neutral	796.904000	10:54:53.279	All	0.000000	
Blank	837.896000	10:55:34.271	All	0.000000	
+Dog2	843.016000	10:55:39.391	All	0.000000	
Blank	848.032000	10:55:44.407	All	0.000000	
+Baby2	853.048000	10:55:49.423	All	0.000000	
Blank	858.072000	10:55:54.447	All	0.000000	
-Spider2	863.088000	10:55:59.463	All	0.000000	
Blank	880.702000	10:56:17.077	All	0.000000	
+Dog2	885.726000	10:56:22.101	All	0.000000	
Blank	890.758000	10:56:27.133	All	0.000000	
+Baby2	895.806000	10:56:32.181	All	0.000000	
Blank	900.846000	10:56:37.221	All	0.000000	
-Spider2	905.894000	10:56:42.269	All	0.000000	
Blank	910.862000	10:56:47.237	All	0.000000	
+Friends2	915.902000	10:56:52.277	All	0.000000	
Blank	920.942000	10:56:57.317	All	0.000000	
-Snake	925.974000	10:57:02.349	All	0.000000	
Blank	931.022000	10:57:07.397	All	0.000000	
+Dog1	936.070000	10:57:12.445	All	0.000000	
Blank	941.110000	10:57:17.485	All	0.000000	
-Dog1	946.142000	10:57:22.517	All	0.000000	
Blank	951.166000	10:57:27.541	All	0.000000	
+Cat2	956.206000	10:57:32.581	All	0.000000	
Blank	961.254000	10:57:37.629	All	0.000000	
-Dog2	966.302000	10:57:42.677	All	0.000000	
Blank	971.350000	10:57:47.725	All	0.000000	
-Spider1	976.398000	10:57:52.773	All	0.000000	
Blank	981.413000	10:57:57.788	All	0.000000	
+Dog3	986.398000	10:58:02.773	All	0.000000	
Blank	991.438000	10:58:07.813	All	0.000000	
-Face	996.478000	10:58:12.853	All	0.000000	
Blank	1001.526000	10:58:17.901	All	0.000000	
+Friends1	1006.582000	10:58:22.957	All	0.000000	
Blank	1011.630000	10:58:28.005	All	0.000000	
-Spider3	1016.662000	10:58:33.037	All	0.000000	
Blank	1021.710000	10:58:38.085	All	0.000000	
+Baby1	1026.758000	10:58:43.133	All	0.000000	
Blank	1031.726000	10:58:48.101	All	0.000000	
-Cut	1036.758000	10:58:53.133	All	0.000000	
Blank	1041.806000	10:58:58.181	All	0.000000	
-Gun	1046.838000	10:59:03.213	All	0.000000	
Blank	1051.870000	10:59:08.245	All	0.000000	
+Cat-Dog	1056.918000	10:59:13.293	All	0.000000	
Blank	1061.950000	10:59:18.325	All	0.000000	
-Sore	1066.982000	10:59:23.357	All	0.000000	
Blank	1072.014000	10:59:28.389	All	0.000000	
+Cat1	1077.046000	10:59:33.421	All	0.000000	
Blank	1082.070000	10:59:38.445	All	0.000000	
