MarkValue	File Time	Real Time	Channel	Ch Value	
n	113.016000	19:41:06.578	All	0.000000	
smile	118.296000	19:41:11.858	All	0.000000	
n	129.639000	19:41:23.201	All	0.000000	
frown	140.200000	19:41:33.762	All	0.000000	
n	151.784000	19:41:45.346	All	0.000000	
smile	162.800000	19:41:56.362	All	0.000000	
n	171.000000	19:42:04.562	All	0.000000	
frown	179.704000	19:42:13.266	All	0.000000	
n	187.640000	19:42:21.202	All	0.000000	
Blank	295.881000	19:44:09.443	All	0.000000	
+Dog2	300.905000	19:44:14.467	All	0.000000	
Blank	305.929000	19:44:19.491	All	0.000000	
+Baby2	311.041000	19:44:24.603	All	0.000000	
Blank	315.993000	19:44:29.555	All	0.000000	
-Spider2	321.113000	19:44:34.675	All	0.000000	
Blank	326.065000	19:44:39.627	All	0.000000	
+Friends2	331.097000	19:44:44.659	All	0.000000	
Blank	336.209000	19:44:49.771	All	0.000000	
-Snake	341.241000	19:44:54.803	All	0.000000	
Blank	346.281000	19:44:59.843	All	0.000000	
+Dog1	351.321000	19:45:04.883	All	0.000000	
Blank	356.353000	19:45:09.915	All	0.000000	
-Dog1	361.393000	19:45:14.955	All	0.000000	
Blank	366.449000	19:45:20.011	All	0.000000	
+Cat2	371.497000	19:45:25.059	All	0.000000	
Blank	376.537000	19:45:30.099	All	0.000000	
-Dog2	381.569000	19:45:35.131	All	0.000000	
Blank	386.593000	19:45:40.155	All	0.000000	
-Spider1	391.625000	19:45:45.187	All	0.000000	
Blank	396.657000	19:45:50.219	All	0.000000	
+Dog3	401.697000	19:45:55.259	All	0.000000	
Blank	406.729000	19:46:00.291	All	0.000000	
-Face	411.761000	19:46:05.323	All	0.000000	
Blank	416.785000	19:46:10.347	All	0.000000	
+Friends1	421.825000	19:46:15.387	All	0.000000	
Blank	426.857000	19:46:20.419	All	0.000000	
-Spider3	431.897000	19:46:25.459	All	0.000000	
Blank	436.929000	19:46:30.491	All	0.000000	
+Baby1	442.049000	19:46:35.611	All	0.000000	
Blank	446.993000	19:46:40.555	All	0.000000	
-Cut	452.113000	19:46:45.675	All	0.000000	
Blank	457.057000	19:46:50.619	All	0.000000	
-Gun	462.089000	19:46:55.651	All	0.000000	
Blank	467.201000	19:47:00.763	All	0.000000	
+Cat-Dog	472.241000	19:47:05.803	All	0.000000	
Blank	477.281000	19:47:10.843	All	0.000000	
-Sore	482.305000	19:47:15.867	All	0.000000	
Blank	487.345000	19:47:20.907	All	0.000000	
+Cat1	492.377000	19:47:25.939	All	0.000000	
Blank	497.401000	19:47:30.963	All	0.000000	
