MarkValue	File Time	Real Time	Channel	Ch Value	
smile	533.242000	19:53:51.603	All	0.000000	
neutral	558.434000	19:54:16.795	All	0.000000	
frown	596.938000	19:54:55.299	All	0.000000	
neutral	610.522000	19:55:08.883	All	0.000000	
smile	626.810000	19:55:25.171	All	0.000000	
neutral	634.410000	19:55:32.771	All	0.000000	
frown	639.874000	19:55:38.235	All	0.000000	
neutral	646.258000	19:55:44.619	All	0.000000	
Blank	713.168000	19:56:51.529	All	0.000000	
+Dog2	718.200000	19:56:56.561	All	0.000000	
Blank	721.016000	19:56:59.377	All	0.000000	
Blank	744.967000	19:57:23.328	All	0.000000	
Blank	763.099000	19:57:41.460	All	0.000000	
Blank	789.754000	19:58:08.115	All	0.000000	
+Dog2	794.778000	19:58:13.139	All	0.000000	
Blank	799.810000	19:58:18.171	All	0.000000	
+Baby2	804.850000	19:58:23.211	All	0.000000	
Blank	809.874000	19:58:28.235	All	0.000000	
-Spider2	814.906000	19:58:33.267	All	0.000000	
Blank	819.938000	19:58:38.299	All	0.000000	
+Friends2	824.962000	19:58:43.323	All	0.000000	
Blank	829.986000	19:58:48.347	All	0.000000	
-Snake	835.018000	19:58:53.379	All	0.000000	
Blank	839.962000	19:58:58.323	All	0.000000	
+Dog1	845.074000	19:59:03.435	All	0.000000	
Blank	850.106000	19:59:08.467	All	0.000000	
-Dog1	855.145000	19:59:13.506	All	0.000000	
Blank	860.186000	19:59:18.547	All	0.000000	
+Cat2	865.218000	19:59:23.579	All	0.000000	
Blank	870.234000	19:59:28.595	All	0.000000	
-Dog2	875.354000	19:59:33.715	All	0.000000	
Blank	880.386000	19:59:38.747	All	0.000000	
-Spider1	885.418000	19:59:43.779	All	0.000000	
Blank	890.442000	19:59:48.803	All	0.000000	
+Dog3	895.474000	19:59:53.835	All	0.000000	
Blank	900.506000	19:59:58.867	All	0.000000	
-Face	905.538000	20:00:03.899	All	0.000000	
Blank	910.578000	20:00:08.939	All	0.000000	
+Friends1	915.602000	20:00:13.963	All	0.000000	
Blank	920.642000	20:00:19.003	All	0.000000	
-Spider3	925.674000	20:00:24.035	All	0.000000	
Blank	930.714000	20:00:29.075	All	0.000000	
+Baby1	935.754000	20:00:34.115	All	0.000000	
Blank	940.786000	20:00:39.147	All	0.000000	
-Cut	945.826000	20:00:44.187	All	0.000000	
Blank	950.842000	20:00:49.203	All	0.000000	
-Gun	955.874000	20:00:54.235	All	0.000000	
Blank	960.922000	20:00:59.283	All	0.000000	
+Cat-Dog	965.954000	20:01:04.315	All	0.000000	
Blank	970.986000	20:01:09.347	All	0.000000	
-Sore	976.010000	20:01:14.371	All	0.000000	
Blank	981.042000	20:01:19.403	All	0.000000	
+Cat1	986.082000	20:01:24.443	All	0.000000	
Blank	991.114000	20:01:29.475	All	0.000000	
