MarkValue	File Time	Real Time	Channel	Ch Value	
Smile	172.744000	13:22:09.590	All	0.000000	
Smile	188.776000	13:22:25.622	All	0.000000	
Smile	228.536000	13:23:05.382	All	0.000000	
Neutral	236.120000	13:23:12.966	All	0.000000	
Frown	246.944000	13:23:23.790	All	0.000000	
Neutral	252.824000	13:23:29.670	All	0.000000	
Smile	267.936000	13:23:44.782	All	0.000000	
Neutral	274.088000	13:23:50.934	All	0.000000	
Frown	278.864000	13:23:55.710	All	0.000000	
Neutral	286.880000	13:24:03.726	All	0.000000	
Blank	529.208000	13:28:06.054	All	0.000000	
Blank	531.328000	13:28:08.174	All	0.000000	
Blank	535.080000	13:28:11.926	All	0.000000	
+Dog2	540.112000	13:28:16.958	All	0.000000	
Blank	545.144000	13:28:21.990	All	0.000000	
+Baby2	550.176000	13:28:27.022	All	0.000000	
Blank	555.224000	13:28:32.070	All	0.000000	
-Spider2	560.272000	13:28:37.118	All	0.000000	
Blank	565.312000	13:28:42.158	All	0.000000	
+Friends2	570.360000	13:28:47.206	All	0.000000	
Blank	575.400000	13:28:52.246	All	0.000000	
-Snake	580.440000	13:28:57.286	All	0.000000	
Blank	585.504000	13:29:02.350	All	0.000000	
+Dog1	590.536000	13:29:07.382	All	0.000000	
Blank	595.576000	13:29:12.422	All	0.000000	
-Dog1	600.616000	13:29:17.462	All	0.000000	
Blank	605.672000	13:29:22.518	All	0.000000	
+Cat2	610.720000	13:29:27.566	All	0.000000	
Blank	615.768000	13:29:32.614	All	0.000000	
-Dog2	620.808000	13:29:37.654	All	0.000000	
Blank	625.856000	13:29:42.702	All	0.000000	
-Spider1	630.888000	13:29:47.734	All	0.000000	
Blank	635.936000	13:29:52.782	All	0.000000	
+Dog3	640.968000	13:29:57.814	All	0.000000	
Blank	646.016000	13:30:02.862	All	0.000000	
-Face	651.048000	13:30:07.894	All	0.000000	
Blank	656.080000	13:30:12.926	All	0.000000	
+Friends1	661.120000	13:30:17.966	All	0.000000	
Blank	666.160000	13:30:23.006	All	0.000000	
-Spider3	671.200000	13:30:28.046	All	0.000000	
Blank	676.240000	13:30:33.086	All	0.000000	
+Baby1	681.280000	13:30:38.126	All	0.000000	
Blank	686.320000	13:30:43.166	All	0.000000	
-Cut	691.360000	13:30:48.206	All	0.000000	
Blank	696.400000	13:30:53.246	All	0.000000	
-Gun	701.440000	13:30:58.286	All	0.000000	
Blank	706.480000	13:31:03.326	All	0.000000	
+Cat-Dog	711.512000	13:31:08.358	All	0.000000	
Blank	716.560000	13:31:13.406	All	0.000000	
-Sore	721.592000	13:31:18.438	All	0.000000	
Blank	726.632000	13:31:23.478	All	0.000000	
+Cat1	731.664000	13:31:28.510	All	0.000000	
Blank	736.704000	13:31:33.550	All	0.000000	
