TrialStart,S1_PlanTime,S2_PlanTime,S1_MoveTime,S2_MoveTime,S1_NMoves,S2_NMoves,TimeTarget,TimeNonTarget,NTargets,S1_MoveSTD,S2_MoveSTD,Feedback,Accuracy,Signal
17.7,7841.6,2514.5,6248.0,3276.0,6,5,4102.5,432.38,1,2524.9,1289.1,1,1,1.0
23687.0,3033.7,2632.7,968.0,6552.0,3,7,4418.2,329.16,1,1143.6,2607.8,1,1,1.0
40535.0,5011.9,1037.4,5919.9,1076.0,6,3,4264.7,327.8,1,2539.9,427.45,1,1,1.0
58166.0,1345.5,4101.0,1000.0,6572.0,2,3,5613.4,570.6,1,294.16,3362.3,1,1,1.0
75163.0,8368.8,1509.8,8072.0,976.0,11,3,1527.5,441.36,3,2498.3,433.23,2,0,9.0
98249.0,3660.6,7967.2,2096.0,8860.0,4,9,3198.3,324.57,2,1143.9,3546.2,1,1,3.0
124590.0,5132.3,1846.6,6463.9,1404.0,8,3,4241.1,311.8,1,2414.9,656.91,1,1,1.0
143690.0,1804.7,4584.6,3920.0,8936.0,5,9,1728.7,402.3,4,817.99,3537.4,1,1,3.0
166910.0,6114.5,977.1,9208.0,2912.0,10,4,2216.3,595.33,2,2926.2,799.91,1,1,3.0
190260.0,2097.9,5545.4,1271.9,8356.0,2,5,5316.6,667.8,1,627.91,2698.1,1,1,1.0
212080.0,10628.0,4071.1,6264.0,5536.0,9,4,1976.8,325.05,2,2162.8,2692.3,1,1,8.0
242400.0,1442.4,7580.7,1456.0,9624.0,2,5,6597.0,879.67,1,554.37,3203.1,1,1,1.0
267070.0,5592.1,2567.8,5976.0,2596.0,4,3,4883.1,390.45,1,3022.0,1413.4,1,1,1.0
287640.0,2395.8,8390.7,1936.0,7843.9,2,3,5910.7,1585.2,1,1006.9,3522.7,2,0,1.0
312390.0,7901.9,1725.8,6600.0,436.0,5,2,5436.7,275.77,1,2618.9,604.11,1,1,1.0
332730.0,1110.2,4400.9,1440.0,8508.0,3,7,6414.6,360.28,1,472.36,3438.0,1,1,1.0
