TrialStart,S1_PlanTime,S2_PlanTime,S1_MoveTime,S2_MoveTime,S1_NMoves,S2_NMoves,TimeTarget,TimeNonTarget,NTargets,S1_MoveSTD,S2_MoveSTD,Feedback,Accuracy,Signal
17.7,3172.4,4906.4,4128.0,3100.0,3,3,1794.9,1166.5,1,1154.3,1156.6,2,0,1.0
18933.0,2229.3,2620.6,1056.0,5467.9,3,6,2576.2,578.34,1,822.16,1749.3,1,1,1.0
38650.0,2288.2,2979.9,6824.0,5400.0,6,3,1930.3,983.42,1,1437.1,2659.9,1,1,1.0
59851.0,2901.1,3421.0,1712.0,3068.0,2,2,2267.8,800.2,1,605.28,1615.0,1,1,1.0
81936.0,7448.7,2380.1,9423.9,5872.0,10,8,1334.1,681.23,4,3117.9,1792.1,1,1,3.0
111580.0,1469.9,5110.5,4016.0,7908.0,4,10,1623.5,582.64,2,1035.3,2363.5,1,1,3.0
136310.0,4932.4,4738.7,8912.0,2392.0,6,3,4979.9,786.42,1,3675.3,1008.5,2,0,1.0
162750.0,2233.0,4263.7,3456.0,9455.9,5,9,1479.1,707.92,4,1146.6,3127.0,2,0,3.0
186460.0,4929.2,4786.5,7192.0,1312.0,10,2,1278.5,512.43,2,2136.3,656.2,2,0,3.0
208390.0,1439.4,2414.4,2840.0,5688.0,2,4,2529.8,1052.7,1,1555.6,1397.4,1,1,1.0
229590.0,2419.8,4931.9,8648.0,4280.0,8,4,2929.0,827.83,1,2635.7,1752.4,1,1,7.0
253930.0,3356.1,2594.7,2568.0,4876.0,3,6,1367.8,535.08,2,1402.1,1504.3,2,0,inf
276810.0,6353.4,5895.5,3984.0,7952.0,5,6,1731.4,513.53,1,1356.8,2486.6,2,0,1.0
307590.0,3826.5,5073.7,1664.0,4596.0,3,4,1341.2,956.75,2,1075.1,2024.9,1,1,14.0
332110.0,8580.2,3998.1,5967.9,1203.9,4,2,2511.2,1332.3,1,2870.9,667.51,2,0,inf
356330.0,2010.1,2409.1,960.0,5692.0,3,6,2488.0,640.8,1,710.05,1586.1,1,1,1.0
375680.0,13101.0,3485.3,6000.0,3836.0,8,6,949.6,469.87,4,2103.3,1458.4,2,0,3.0
