TrialStart,S1_PlanTime,S2_PlanTime,S1_MoveTime,S2_MoveTime,S1_NMoves,S2_NMoves,TimeTarget,TimeNonTarget,NTargets,S1_MoveSTD,S2_MoveSTD,Feedback,Accuracy,Signal
17.7,10955.0,3617.7,3768.0,1704.0,7,3,2162.5,277.9,1,1524.5,422.0,1,1,1.0
24254.0,1580.9,2682.2,752.0,5184.0,3,8,1735.1,517.48,1,679.86,1958.9,1,1,1.0
38233.0,6594.4,2500.7,4119.9,1376.0,6,3,2836.5,276.85,1,1666.3,326.0,1,1,1.0
56848.0,6477.5,2412.3,872.0,2656.0,2,3,1513.3,774.7,1,1712.7,1005.4,1,1,1.0
73045.0,9750.2,1599.8,6768.0,2612.0,11,6,987.92,368.05,4,2238.4,715.45,1,1,3.0
97599.0,1665.7,2357.9,1968.0,9860.0,4,8,1792.3,1045.9,2,993.71,2598.1,1,1,3.0
118050.0,8457.6,2254.6,7088.0,1056.0,8,3,3093.7,513.72,1,2237.4,284.94,1,1,1.0
141340.0,4274.4,2497.0,3904.0,6280.0,5,9,681.45,763.55,4,1488.2,1935.6,1,1,3.0
162590.0,14055.0,1750.1,6560.0,2380.0,10,4,1949.2,337.96,2,2321.4,698.32,1,1,3.0
191180.0,1210.3,2548.9,1871.9,3788.0,3,5,1963.0,487.0,1,884.69,1130.4,1,1,1.0
205130.0,16226.0,4045.3,5064.0,6684.0,17,7,791.87,193.26,3,1523.0,2371.1,2,0,7.0
241140.0,3217.4,2635.7,2736.0,5844.0,2,5,2320.5,998.5,1,1812.9,1329.1,1,1,1.0
259590.0,6424.7,2201.5,4632.0,3336.0,4,4,3377.2,299.4,1,2228.0,886.22,2,0,1.0
280660.0,2827.9,1501.2,3192.0,5572.0,2,4,1576.5,1954.9,2,2410.7,1727.2,2,0,1.0
297440.0,8134.8,2276.7,7304.0,720.0,6,2,2454.7,1138.3,1,1947.7,274.36,2,0,1.0
319990.0,1898.7,2264.5,1792.0,6300.0,3,7,3978.1,373.18,1,1122.7,2365.2,1,1,1.0
336720.0,5965.4,2497.3,6968.0,2452.0,10,6,877.55,571.56,4,2040.5,782.55,1,1,3.0
358890.0,3586.4,2718.8,2248.0,9631.9,4,8,2871.2,733.88,2,616.24,3219.2,1,1,1.0
381610.0,15032.0,3174.8,5480.0,2368.0,6,4,3809.0,295.75,1,2279.9,617.77,2,0,1.0
411320.0,2070.4,2846.3,2232.0,6652.0,3,5,1448.8,1679.2,2,1275.7,1626.1,1,1,1.0
429000.0,9086.3,2182.7,6392.0,2792.0,6,2,3883.7,547.08,1,2050.9,1077.6,1,1,1.0
453400.0,974.5,2483.0,1168.0,6144.0,2,5,3584.5,749.17,1,633.57,1830.5,1,1,1.0
468420.0,6586.4,2942.7,5840.0,2316.0,4,3,3984.0,744.0,1,2605.4,955.75,1,1,1.0
489770.0,1376.9,1947.3,1240.0,7316.0,3,6,1770.0,941.37,2,465.13,2088.2,1,1,1.0
505300.0,8679.7,2148.0,4640.0,996.0,4,2,3665.7,363.15,1,1976.4,463.86,1,1,1.0
525460.0,5746.2,126.6,3632.0,7428.0,4,8,697.9,961.44,1,1431.3,1665.7,2,0,inf
546550.0,10529.0,3051.5,9856.0,3904.0,7,6,1882.6,775.23,4,3831.3,1294.6,2,0,4.0
577820.0,1537.2,2383.4,1968.0,5904.0,6,10,872.1,429.52,4,876.94,2015.3,1,1,1.0
594040.0,51709.0,3407.3,5992.0,3896.0,11,5,747.25,429.0,4,1647.1,1824.4,2,0,7.0
667480.0,1140.4,134.2,2120.0,8428.0,6,10,2856.6,638.92,1,732.78,2509.4,1,1,1.0
683710.0,12164.0,2178.3,6311.9,4068.0,13,6,1216.4,262.09,3,1687.2,1327.0,1,1,7.0
712430.0,1567.2,2195.0,3552.0,9648.0,6,10,1185.7,857.8,3,1511.5,2465.6,1,1,9.0
733540.0,8481.6,1926.5,4816.0,2872.0,10,5,669.6,365.12,4,1529.8,858.05,2,0,9.0
755690.0,1485.8,1797.4,1511.9,7396.0,4,7,1614.7,938.65,2,546.17,2011.3,2,0,11.0
