TrialStart,S1_PlanTime,S2_PlanTime,S1_MoveTime,S2_MoveTime,S1_NMoves,S2_NMoves,TimeTarget,TimeNonTarget,NTargets,S1_MoveSTD,S2_MoveSTD,Feedback,Accuracy,Signal
17.7,2660.7,1080.8,6944.0,659.9,6,3,4176.2,539.95,1,2565.5,232.51,1,1,1.0
15731.0,1604.3,4960.3,1000.1,3748.0,3,7,2047.2,299.36,1,312.03,1330.8,1,1,1.0
31510.0,3153.9,780.1,5408.0,1108.0,6,3,2416.5,647.88,1,1547.7,398.48,1,1,1.0
46289.0,1655.4,399.6,456.0,3028.0,2,3,2407.2,368.8,1,169.71,1477.6,1,1,1.0
55447.0,2924.5,4104.2,1592.1,488.0,3,1,645.7,473.2,1,495.03,,2,0,1.0
68992.0,1900.6,7337.3,1592.0,5515.9,4,11,1289.7,334.56,2,425.96,1773.0,1,1,3.0
89842.0,4438.8,1587.8,5520.0,676.0,7,3,3040.8,444.64,1,1872.8,220.05,2,0,1.0
106370.0,3406.3,3157.9,1976.1,5060.0,5,8,828.02,537.3,4,975.78,1703.7,2,0,3.0
124040.0,2432.6,10617.0,1240.0,280.0,3,1,385.5,427.25,2,356.61,5685.1,2,0,3.0
151360.0,2341.3,4426.8,504.0,3639.9,2,5,2234.1,393.93,1,175.36,1173.0,1,1,1.0
166820.0,9775.2,2859.3,6088.0,1292.0,8,4,1809.0,447.58,2,2072.5,388.9,1,1,1.0
191410.0,4963.2,4642.2,1440.0,6887.9,3,9,1461.1,457.74,3,947.27,1936.1,2,0,9.0
212980.0,8182.5,2311.3,5320.0,672.0,6,3,1544.3,621.13,2,1645.6,238.23,1,1,8.0
233580.0,3284.7,1578.2,1840.0,3444.0,2,7,553.4,365.27,3,356.38,867.77,2,0,9.0
247760.0,6544.5,1477.4,9720.0,608.0,5,2,3886.0,1458.5,1,1960.9,223.45,2,0,1.0
270190.0,2717.7,491.0,2136.0,4336.0,5,7,2363.2,358.56,1,706.99,1408.9,1,1,1.0
283940.0,2757.9,923.1,5439.9,1851.9,10,6,710.62,444.28,4,1711.4,501.72,1,1,3.0
299470.0,3140.2,3774.1,2664.0,4108.0,5,13,506.62,231.69,4,918.97,1191.9,2,0,9.0
317080.0,6259.2,1522.3,4544.0,656.0,8,3,925.8,487.28,2,1206.8,216.31,1,1,8.0
334280.0,3836.1,3349.3,5208.0,4416.0,5,12,437.78,275.18,5,2268.8,1124.4,1,1,9.0
354830.0,8242.4,1627.9,6032.0,1024.0,9,2,1589.5,452.83,2,1940.8,200.82,1,1,8.0
376100.0,2808.7,2987.1,432.0,3819.9,1,11,551.83,232.77,4,797.62,1157.4,2,0,9.0
390090.0,15333.0,1164.9,5352.0,628.0,6,3,1034.9,791.27,1,1462.0,212.05,1,1,1.0
416480.0,3183.5,3074.0,1664.0,3739.9,2,11,455.23,277.17,4,299.81,894.58,2,0,9.0
432310.0,6638.5,1298.8,4224.0,536.0,4,2,1606.9,1200.5,1,949.78,195.16,1,1,1.0
448640.0,1543.8,5339.1,3064.0,5912.0,6,14,508.27,390.99,4,942.58,1271.3,1,1,9.0
468740.0,4400.2,2031.2,7280.0,2416.0,10,6,794.73,690.62,4,1886.5,607.05,1,1,4.0
489270.0,2124.0,608.9,2672.0,5280.0,6,13,557.15,358.43,4,844.74,1311.6,1,1,9.0
503920.0,6555.7,2353.6,7111.9,728.0,10,2,855.77,680.16,4,1771.7,217.79,2,0,inf
524320.0,1364.6,5837.7,560.0,5940.0,2,13,657.78,340.44,5,192.33,1645.7,1,1,9.0
542020.0,6170.7,1649.3,6799.9,2459.9,10,8,757.92,670.44,4,1662.8,662.11,1,1,9.0
563500.0,1673.8,2480.0,2392.0,4236.0,6,11,629.62,252.92,4,724.94,1254.8,1,1,9.0
577950.0,6411.0,1592.7,4424.0,1312.0,6,4,1145.0,644.7,2,1200.3,274.13,2,0,10.0
595850.0,3109.1,2479.8,2632.0,4635.9,4,13,516.4,267.7,5,1256.3,1284.0,2,0,9.0
613280.0,4470.4,1586.1,3864.0,2256.0,7,8,929.55,417.23,2,1165.6,900.42,1,1,10.0
629490.0,2363.4,2400.7,3071.9,3896.0,6,11,542.45,258.37,4,991.85,1200.9,2,0,9.0
645550.0,5640.6,1280.6,7288.0,1648.0,11,8,699.2,699.2,4,1947.9,496.81,1,1,10.0
665670.0,2352.9,2301.9,2712.0,3796.0,5,10,605.27,222.98,4,612.78,1125.7,1,1,9.0
681130.0,4948.5,1270.7,5280.0,876.0,6,3,1232.0,872.03,2,1188.5,323.09,1,1,10.0
697580.0,3724.7,2418.2,2368.0,4180.0,5,12,582.52,234.56,4,1089.1,1318.5,1,1,9.0
714430.0,4657.5,4225.7,6207.9,1636.0,5,5,1533.1,1047.2,2,1594.2,866.11,2,0,10.0
735340.0,3857.5,2955.4,2440.0,4928.0,5,10,768.08,340.74,4,1369.8,1721.9,2,0,9.0
753730.0,5673.5,2552.1,5624.0,1416.0,5,5,2073.6,492.3,2,2027.2,836.88,2,0,10.0
773090.0,2286.9,1888.5,3256.0,3915.9,6,11,566.0,245.32,4,1032.3,1188.7,2,0,9.0
788140.0,5485.4,1127.7,6208.0,1716.0,9,6,1744.0,408.02,2,1856.5,508.17,1,1,10.0
806990.0,2199.9,1294.8,527.9,2976.0,2,3,2009.3,874.7,1,203.65,1189.1,1,1,1.0
817850.0,7041.3,1787.3,3384.0,1264.0,6,6,833.4,415.07,2,1054.6,580.48,2,0,10.0
835630.0,1322.1,1521.7,776.0,2772.0,3,5,1220.4,469.2,1,260.01,827.57,1,1,1.0
845790.0,5059.6,1080.8,4712.0,1267.9,7,5,1617.3,321.35,2,1818.2,348.02,1,1,8.0
862050.0,2462.6,1115.1,728.0,2519.9,3,5,1358.4,339.17,1,244.53,911.91,1,1,1.0
872660.0,7448.1,743.2,3344.0,628.0,5,2,1544.2,471.93,1,922.58,189.5,1,1,1.0
888670.0,2114.5,4561.9,2368.0,6580.0,4,8,1261.1,367.83,4,613.36,2053.1,1,1,10.0
908550.0,5005.2,1039.7,4928.0,1860.0,12,6,537.83,334.96,4,1378.4,580.38,2,0,inf
925670.0,1225.3,2469.6,2328.0,5072.0,6,13,545.78,305.01,5,741.21,1316.5,1,1,9.0
941200.0,4459.7,1092.8,6183.9,2148.0,8,8,1900.5,433.4,2,2048.6,610.85,2,0,10.0
959130.0,1918.9,1313.6,2128.0,9912.0,6,14,858.02,651.41,6,732.58,2658.7,1,1,inf
978210.0,3563.5,987.7,6711.9,4803.9,12,10,890.48,416.86,4,2013.4,1564.9,2,0,inf
998380.0,1011.4,5820.3,688.0,3316.0,3,7,1811.2,261.76,1,224.43,2803.7,1,1,1.0
1013800.0,1937.1,1222.7,2528.0,648.0,5,3,1451.2,297.6,1,949.97,206.0,1,1,1.0
1024400.0,877.7,142.8,384.0,2820.0,2,5,1806.0,270.0,1,141.42,961.92,1,1,1.0
1032300.0,3297.4,2065.2,7392.0,6460.0,8,4,1410.9,725.85,3,2051.6,2445.7,2,0,10.0
