TrialStart,S1_PlanTime,S2_PlanTime,S1_MoveTime,S2_MoveTime,S1_NMoves,S2_NMoves,TimeTarget,TimeNonTarget,NTargets,S1_MoveSTD,S2_MoveSTD,Feedback,Accuracy,Signal
17.7,4297.9,1018.0,1960.0,1812.0,6,3,281.5,279.62,1,603.64,395.23,1,1,1.0
13512.0,1388.4,1711.8,2015.9,5616.0,5,11,952.0,440.44,1,658.4,1425.4,1,1,1.0
28158.0,1888.3,1695.3,2544.0,1568.0,6,3,602.4,335.4,1,780.43,596.86,1,1,1.0
40384.0,1417.0,1437.2,1072.0,3556.0,2,5,1335.6,572.13,1,492.15,1125.9,1,1,1.0
52027.0,14461.0,1560.1,4863.9,1879.9,11,3,734.1,348.64,1,1418.4,587.75,2,0,1.0
79083.0,1568.8,2467.0,2888.0,5820.0,7,13,594.77,379.08,3,764.23,1643.3,1,1,3.0
95964.0,5416.8,1303.5,3432.0,1428.0,8,3,734.1,328.32,1,1469.6,489.23,1,1,1.0
111910.0,2072.4,1730.3,2872.0,7715.9,7,17,509.4,429.86,4,1090.5,2123.3,1,1,3.0
130580.0,2754.8,1147.1,4088.0,1936.0,12,4,563.7,292.51,2,1305.3,718.97,1,1,3.0
144720.0,2167.0,2023.6,1032.0,4348.0,2,9,791.5,446.36,1,708.31,1271.3,1,1,1.0
158670.0,7665.1,1208.3,6064.0,1616.0,11,3,1548.2,399.53,1,2016.8,590.95,2,0,1.0
179050.0,1834.9,2870.3,1824.0,6920.0,4,11,934.25,567.94,2,822.77,1763.6,1,1,1.0
196100.0,1451.2,1189.2,1719.9,2408.0,4,3,723.8,334.1,1,631.34,736.45,1,1,1.0
206860.0,1773.7,1578.1,1192.0,3720.0,2,5,608.8,881.2,2,582.66,1155.5,2,0,1.0
219250.0,1985.4,1080.8,1936.0,1864.0,5,2,663.7,301.43,1,590.18,319.61,1,1,1.0
229940.0,1011.5,4168.2,1528.0,3884.0,3,7,1174.5,425.9,1,626.46,1031.5,1,1,1.0
244770.0,1734.4,598.7,4119.9,2456.0,10,6,425.32,344.32,5,1273.4,741.82,1,1,3.0
258150.0,1128.9,2874.7,2632.0,5696.0,6,12,765.95,407.12,2,1038.1,1703.8,1,1,1.0
274680.0,6814.0,1680.9,4192.0,1708.0,6,3,992.4,445.9,1,1257.9,672.14,1,1,1.0
293630.0,1880.4,7698.9,1240.0,3328.0,2,4,1095.1,742.45,1,912.05,2025.2,2,0,inf
312290.0,4205.5,2097.8,2744.0,1840.0,5,3,1272.0,309.33,1,873.48,954.27,2,0,1.0
326810.0,2855.0,3023.4,1496.0,2951.9,3,5,1144.0,450.63,1,614.72,876.85,2,0,1.0
340800.0,1627.3,1752.0,2368.0,1020.0,4,3,1446.4,312.8,1,1035.7,368.26,1,1,1.0
351760.0,2633.9,1437.8,1664.0,4036.0,4,7,1149.5,463.7,1,754.48,1140.2,2,0,7.0
365390.0,1079.9,1327.3,2848.0,1284.0,4,2,1885.7,293.15,1,1125.7,548.71,1,1,1.0
376510.0,1428.0,2392.1,1944.0,6427.9,5,11,1346.0,517.54,1,775.71,1684.9,2,0,7.0
393240.0,4912.1,1224.7,5552.0,3948.0,8,6,713.93,586.55,3,1673.2,952.71,1,1,3.0
412680.0,1379.9,2300.0,1848.0,4168.0,5,7,1219.2,502.54,1,576.37,1144.2,2,0,7.0
426820.0,8233.3,3061.0,5008.0,2476.0,10,3,1072.8,332.33,2,1377.7,2183.9,2,0,19.0
449510.0,2008.6,1447.4,2088.0,4292.0,2,5,1206.8,879.07,1,1227.5,850.5,1,1,1.0
463850.0,1855.0,850.6,4224.0,1972.0,6,3,663.95,453.37,2,1244.6,767.64,2,0,8.0
476950.0,1625.4,2345.2,3936.0,6164.0,6,9,1264.8,630.74,1,1310.1,1048.7,1,1,7.0
494710.0,2211.7,1268.0,4640.0,3655.9,6,6,614.35,931.77,2,913.13,876.23,2,0,8.0
511070.0,2305.0,2238.3,3168.0,5619.9,3,9,1410.1,505.97,1,1584.5,1166.7,2,0,7.0
528760.0,3967.9,950.9,2808.0,1624.0,7,2,700.0,316.0,2,867.14,647.71,2,0,8.0
542080.0,2432.6,3587.1,3736.0,4991.9,6,7,1493.4,607.72,1,1433.4,2069.3,2,0,inf
560430.0,3579.0,531.1,4344.0,3916.0,5,7,1695.2,536.27,1,1360.6,933.36,2,0,1.0
576600.0,2131.7,4791.3,2751.9,5184.0,5,6,1296.1,863.98,1,1216.4,1944.1,1,1,inf
595540.0,5950.2,2621.5,2888.0,6404.0,4,5,690.9,558.55,1,883.79,2533.4,2,0,1.0
617500.0,1793.9,2890.3,2152.0,3284.0,5,6,1328.0,385.0,1,693.64,1038.9,1,1,6.0
632110.0,2957.3,1505.8,2703.9,1208.0,5,3,1553.8,258.03,1,1088.5,649.88,2,0,1.0
644500.0,2182.4,2550.2,3456.0,3604.0,4,6,1205.4,488.65,1,1242.3,838.37,2,0,6.0
660370.0,3028.7,950.8,2496.0,4344.0,5,9,716.3,406.57,1,662.51,1337.5,1,1,7.0
675590.0,2148.5,2378.1,2823.9,4311.9,6,9,1583.4,329.21,1,823.99,1186.2,2,0,7.0
690920.0,2854.1,660.2,4248.0,1280.0,7,3,1390.7,337.86,1,1269.4,392.18,2,0,7.0
704170.0,1601.9,2597.1,1408.0,3652.0,4,5,1457.6,592.8,1,470.09,941.9,2,0,1.0
717650.0,2319.0,1294.6,3759.9,1744.0,6,3,874.0,529.5,1,854.89,646.42,2,0,7.0
