TrialStart,S1_PlanTime,S2_PlanTime,S1_MoveTime,S2_MoveTime,S1_NMoves,S2_NMoves,TimeTarget,TimeNonTarget,NTargets,S1_MoveSTD,S2_MoveSTD,Feedback,Accuracy,Signal
17.7,3444.8,2833.3,7120.0,1608.0,6,3,2773.1,848.73,1,1810.3,437.32,1,1,1.0
19584.0,2019.1,2810.5,1024.0,4524.0,3,7,1556.4,339.92,1,728.91,1348.0,1,1,1.0
33729.0,2972.2,8672.7,2560.0,2668.0,4,3,542.2,672.6,1,944.46,512.41,2,0,1.0
52862.0,3861.2,3296.8,5768.0,3348.0,4,5,1479.0,427.0,1,2739.7,936.75,1,1,1.0
73012.0,6308.2,1305.0,7984.0,3700.0,11,6,819.83,481.45,4,2364.3,1224.1,1,1,3.0
96631.0,1908.9,3607.2,2360.0,7124.0,4,9,1397.2,485.7,3,1235.8,2341.6,1,1,3.0
115300.0,6541.4,2065.0,6008.0,1496.0,7,3,3850.8,335.44,1,2231.5,485.87,2,0,1.0
135380.0,2012.6,4252.7,2856.0,7804.0,5,9,1098.5,614.48,4,1240.5,2588.5,1,1,3.0
156300.0,5046.8,1200.6,6464.0,3072.0,10,4,1348.4,341.6,2,1861.4,1008.1,1,1,3.0
175810.0,1977.6,2953.6,1296.0,4300.0,2,5,2169.1,587.63,1,1080.8,1201.1,1,1,1.0
190480.0,9596.6,2937.9,7328.0,4988.0,9,6,2213.9,376.68,2,2570.4,2008.8,1,1,8.0
219630.0,4171.2,5496.7,5639.9,5115.9,3,5,2659.4,660.17,1,2692.8,1548.1,2,0,1.0
244040.0,6382.9,2213.7,7176.0,2044.0,8,4,1561.2,548.32,2,1959.3,825.23,2,0,8.0
265870.0,3655.0,3898.8,1592.0,4612.0,3,5,1598.4,515.6,2,1243.0,1741.2,2,0,10.0
283690.0,6596.1,1862.4,9880.0,3064.0,6,2,2539.4,753.93,3,4049.7,1979.9,1,1,1.0
309070.0,1591.3,3443.8,880.0,5080.0,3,7,2648.7,314.24,1,341.32,1785.2,1,1,1.0
323850.0,3888.4,993.6,5880.0,3268.0,10,6,760.67,364.26,4,1963.2,1052.9,1,1,3.0
342050.0,2067.9,4231.3,2104.0,7012.0,3,9,1334.7,672.45,2,972.27,2355.5,2,0,10.0
361720.0,8848.3,1267.8,7816.0,4100.0,8,6,1915.8,523.3,2,2294.6,1492.5,2,0,8.0
387910.0,2804.7,3732.8,2032.0,5959.9,3,6,1560.0,697.33,2,870.95,1551.4,1,1,8.0
406290.0,9663.6,1461.5,5680.0,3924.0,7,2,1627.3,418.35,2,1865.9,2087.4,1,1,8.0
430730.0,5203.8,5180.6,4776.0,3752.0,2,4,2143.7,658.15,1,3247.0,1221.7,2,0,1.0
