TrialStart,S1_PlanTime,S2_PlanTime,S1_MoveTime,S2_MoveTime,S1_NMoves,S2_NMoves,TimeTarget,TimeNonTarget,NTargets,S1_MoveSTD,S2_MoveSTD,Feedback,Accuracy,Signal
17.7,4149.7,1633.3,3504.0,1124.0,6,3,1842.4,353.4,1,1231.2,335.45,1,1,1.0
14296.0,1473.6,3708.1,888.0,3304.0,3,7,1233.9,329.22,1,280.04,958.74,1,1,1.0
27908.0,2463.5,1386.9,3136.0,1284.0,6,3,1701.2,312.7,1,1200.3,431.01,1,1,1.0
40351.0,2935.0,2650.0,2872.0,3292.0,2,5,1164.6,521.13,1,1895.0,857.43,1,1,1.0
56131.0,3648.2,2019.1,9808.0,2848.0,17,6,930.7,467.77,4,2900.4,1225.3,1,1,3.0
78416.0,2127.6,3797.9,3392.0,5360.0,6,9,1080.8,441.72,2,1639.2,1722.5,1,1,3.0
96798.0,3416.7,2056.6,5504.0,2728.0,9,4,566.1,496.63,2,1546.6,1114.3,2,0,3.0
114960.0,1896.0,2800.8,3024.0,5452.0,5,9,594.62,510.38,4,1052.2,1694.8,1,1,3.0
131890.0,3950.8,1223.6,7096.0,2180.0,10,4,1343.4,453.89,2,2167.8,784.77,1,1,3.0
150090.0,2285.4,2152.7,968.0,5076.0,2,6,1792.3,619.92,1,424.26,1652.8,1,1,1.0
164600.0,3130.3,1543.3,4480.0,1736.0,7,3,1921.3,316.54,1,1460.5,730.86,2,0,6.0
179180.0,1454.6,5038.3,3368.0,3372.0,3,5,1742.5,401.83,1,1402.4,1029.3,2,0,6.0
196730.0,7401.7,2000.5,4480.0,1464.0,5,3,1322.3,453.65,2,2128.1,535.64,1,1,inf
216400.0,3433.4,7936.5,4704.0,3252.0,4,4,1240.8,385.2,2,1579.0,1319.4,2,0,1.0
239180.0,3603.0,2712.5,5856.0,1332.0,6,3,1002.5,320.25,3,2273.4,520.04,2,0,inf
257080.0,1309.5,3862.0,1039.9,3888.0,3,7,1564.8,363.02,1,665.04,1174.5,1,1,1.0
270940.0,2244.8,3074.0,5960.0,2851.9,10,6,713.5,365.18,4,1884.1,877.53,1,1,3.0
289220.0,2920.2,6859.5,1808.0,4184.0,3,8,875.0,410.78,2,1162.1,1298.6,2,0,7.0
309340.0,3466.3,2650.0,3303.9,875.9,6,3,1727.2,290.18,1,1203.1,608.91,1,1,1.0
323690.0,1739.0,5354.3,2664.1,3335.9,2,5,1025.2,448.7,2,1521.8,1141.4,2,0,1.0
340920.0,18895.0,2914.6,3264.0,2859.9,5,4,1856.3,378.57,1,1038.7,958.86,1,1,1.0
373380.0,1235.7,3825.6,3320.0,3063.9,2,5,1492.0,398.63,1,1997.1,874.29,1,1,1.0
389090.0,2416.8,4874.1,5784.0,1527.9,4,3,2826.2,526.9,1,2454.7,467.96,1,1,1.0
407440.0,2525.0,20625.0,4032.0,4063.9,5,7,1048.9,402.52,2,1672.9,1198.8,1,1,8.0
443220.0,3583.8,3143.0,3776.0,1476.0,4,2,2597.3,421.35,1,1471.8,845.7,1,1,1.0
458970.0,2561.6,20284.0,3632.0,9364.0,5,10,1438.2,443.88,4,1265.0,2885.9,2,0,4.0
498430.0,3969.2,4616.1,9384.0,3152.0,11,5,855.35,579.1,4,2369.7,1090.0,2,0,4.0
523370.0,627.3,6117.4,1288.0,6196.0,1,9,1043.0,404.82,4,,2289.7,2,0,1.0
545670.0,5102.7,5572.0,6912.0,3148.0,12,5,1277.8,360.84,3,2032.6,993.15,2,0,15.0
570890.0,2691.7,5234.6,2464.0,3060.0,1,5,1414.2,403.27,1,,999.16,2,0,1.0
588520.0,8720.5,10976.0,7736.0,4360.0,6,5,1715.2,1076.4,2,2274.3,1299.3,2,0,inf
626920.0,2886.5,38122.0,5616.0,5884.0,6,9,2134.7,481.9,1,1996.4,1872.3,1,1,inf
683950.0,4082.8,6638.7,6408.0,4152.0,6,5,1486.7,712.87,2,2097.5,1442.5,1,1,8.0
709170.0,1973.9,6817.2,4904.0,4436.0,5,7,1181.5,342.23,2,1172.6,1471.0,1,1,8.0
731180.0,6661.1,2510.1,5656.0,3908.0,7,6,1909.4,391.3,2,2099.5,1344.4,2,0,8.0
754430.0,3016.3,7583.2,2736.0,4728.0,4,6,1651.8,342.8,2,1053.9,1530.7,2,0,8.0
776850.0,28062.0,8043.8,7968.0,3776.0,9,6,2110.1,311.32,2,2373.2,1249.1,1,1,8.0
829210.0,4217.3,13494.0,5256.0,4560.0,8,7,1334.6,352.7,2,1694.7,1553.3,2,0,8.0
861130.0,3394.2,6540.4,5952.0,2184.0,8,3,1440.2,431.94,2,2089.8,942.55,1,1,8.0
883070.0,2490.0,5805.6,5224.0,4176.0,7,8,1132.1,312.76,2,1653.4,1331.9,2,0,8.0
905050.0,7050.7,1944.0,5072.0,3220.0,7,6,1449.0,325.48,2,1667.7,1136.2,1,1,8.0
926570.0,1070.0,4755.7,5088.0,4500.0,4,6,1516.5,371.67,2,1478.4,1376.8,2,0,8.0
945950.0,4179.8,2813.6,5672.0,3504.0,9,6,1408.7,290.43,2,1727.5,1218.4,2,0,7.0
966600.0,1975.9,9777.3,4488.0,5536.0,6,9,1674.5,329.18,2,1422.8,1692.4,2,0,7.0
992880.0,2354.8,4497.4,5032.0,2496.0,9,4,1455.8,280.05,2,1646.8,887.5,1,1,8.0
1010900.0,3028.5,4659.4,3760.0,3631.9,2,3,2909.5,462.5,1,1459.5,1770.3,1,1,1.0
