TrialStart,S1_PlanTime,S2_PlanTime,S1_MoveTime,S2_MoveTime,S1_NMoves,S2_NMoves,TimeTarget,TimeNonTarget,NTargets,S1_MoveSTD,S2_MoveSTD,Feedback,Accuracy,Signal
17.7,4106.9,2118.8,4120.0,2072.0,6,3,1718.5,540.38,1,1195.1,845.48,1,1,1.0
16214.0,1171.6,3642.8,1216.0,5048.0,3,7,1635.3,598.54,1,438.28,1404.7,1,1,1.0
31060.0,3950.0,1253.2,3319.9,1235.9,6,3,1606.2,360.43,1,1155.3,482.31,1,1,1.0
45238.0,2094.2,223.5,688.0,3611.9,2,3,1832.6,1295.4,1,265.87,1228.4,1,1,1.0
55497.0,4553.6,2517.6,7400.0,5472.0,12,8,764.65,559.63,4,2284.2,1655.6,1,1,3.0
79067.0,2196.0,5322.5,1320.0,8064.0,4,11,1091.3,594.16,2,811.96,2273.1,1,1,3.0
99817.0,7777.3,1763.7,5296.0,1872.0,8,3,2197.9,439.02,1,1683.2,962.01,1,1,1.0
120350.0,2477.2,5127.0,1192.0,5679.9,3,8,611.1,874.8,5,460.28,1680.9,2,0,3.0
137800.0,5308.1,1955.8,5480.0,4436.0,10,6,1240.1,381.69,2,1754.6,1817.4,1,1,3.0
158980.0,3438.8,3445.7,904.0,4060.0,3,5,1527.7,689.43,1,281.86,1252.3,2,0,1.0
175100.0,4214.2,2004.9,3848.0,1620.0,7,3,2070.5,305.9,1,1427.5,644.49,2,0,1.0
191090.0,4487.2,5934.2,1120.0,4032.0,2,5,1858.3,565.87,1,520.43,1239.9,1,1,1.0
210280.0,3851.6,1441.4,3648.0,1464.0,4,3,2551.3,468.35,1,1615.5,520.01,1,1,1.0
224970.0,989.0,2895.9,504.0,3736.0,2,3,2172.4,891.6,1,175.36,1488.7,2,0,1.0
236800.0,5413.8,2462.0,3992.0,1588.0,4,2,3001.2,379.4,1,1623.0,653.37,2,0,1.0
254230.0,1512.9,1793.4,976.0,6048.0,3,7,2232.6,654.28,1,775.42,1770.3,1,1,1.0
268490.0,1936.4,4638.1,1536.0,712.0,3,2,502.2,516.9,1,468.69,311.13,2,0,inf
281900.0,4608.2,3972.6,1752.0,9499.9,3,7,1599.8,1260.0,2,596.76,3097.9,2,0,1.0
303550.0,4787.0,2868.4,4680.0,1824.0,6,3,2312.0,520.0,1,1543.2,1067.4,1,1,1.0
321680.0,2616.8,2700.8,1336.0,6116.0,2,7,1930.8,734.64,1,610.94,2018.2,2,0,1.0
338200.0,5348.9,2958.6,3824.0,2056.0,5,2,2581.7,326.1,1,1349.1,1207.7,1,1,1.0
356360.0,3136.3,2744.0,471.9,4108.0,2,5,2166.0,517.97,1,152.74,1297.2,1,1,1.0
371390.0,4034.5,1887.5,3680.0,1224.0,4,3,2605.5,385.25,1,1705.7,475.02,1,1,1.0
386200.0,1260.9,3792.0,504.0,4020.0,2,5,2077.3,510.23,1,158.39,1316.6,2,0,1.0
400020.0,4779.6,2126.4,3976.0,5268.0,4,2,2803.4,478.3,1,1540.6,2958.5,1,1,1.0
420720.0,1889.4,12290.0,904.0,8688.0,3,10,1942.2,631.37,2,659.27,2758.4,2,0,8.0
448590.0,6922.4,1859.3,4120.0,1384.0,6,3,2591.0,318.25,1,1656.4,538.01,2,0,1.0
466740.0,4497.8,2673.6,1488.0,6732.0,3,9,1619.5,521.48,2,329.49,2143.9,2,0,8.0
486470.0,2290.5,2830.8,5336.0,656.0,6,2,1261.7,655.5,3,1711.9,843.18,2,0,1.0
502000.0,3338.7,4532.9,1104.0,7676.0,3,7,2219.9,694.02,2,372.15,2394.1,2,0,8.0
523150.0,6180.3,3401.1,5551.9,1652.0,7,3,1011.4,609.15,4,1808.3,987.62,2,0,1.0
