TrialStart,S1_PlanTime,S2_PlanTime,S1_MoveTime,S2_MoveTime,S1_NMoves,S2_NMoves,TimeTarget,TimeNonTarget,NTargets,S1_MoveSTD,S2_MoveSTD,Feedback,Accuracy,Signal
17.7,4264.0,6401.1,4031.9,4252.0,6,5,1891.1,467.23,1,1420.6,1683.0,2,0,1.0
23537.0,7608.9,6690.9,2455.7,4068.1,3,7,534.7,588.9,1,602.17,1093.6,2,0,1.0
47174.0,5066.9,7248.0,4008.0,5976.0,6,5,1895.9,460.0,1,1416.7,2581.4,2,0,1.0
73095.0,3213.7,20528.0,640.0,7255.9,2,5,2158.1,1313.9,1,192.33,5354.8,1,1,inf
108890.0,5577.8,11431.0,4968.0,5668.1,6,8,960.27,563.45,4,1641.8,3537.9,2,0,3.0
140630.0,4041.8,21808.0,2416.0,9332.1,4,9,1161.2,636.27,2,823.12,2401.9,1,1,3.0
181990.0,6794.4,8726.7,4648.0,9036.1,8,5,1944.5,409.25,1,1349.0,4737.6,2,0,1.0
215310.0,4354.4,18528.0,2512.0,6908.0,5,9,843.83,663.17,4,532.88,2174.4,1,1,3.0
251390.0,5662.2,7861.9,7568.0,7520.0,10,9,1585.7,598.37,2,2245.3,4351.8,2,0,3.0
286320.0,3407.3,8719.9,1776.0,5592.0,2,5,2234.7,788.43,1,808.93,1376.0,1,1,1.0
310380.0,9780.6,13573.0,9888.0,8112.0,5,5,2615.1,1552.6,2,2901.2,2376.5,2,0,10.0
357450.0,2852.4,14469.0,1328.0,4848.0,2,5,1302.7,723.1,1,667.51,1149.7,1,1,1.0
384940.0,1979.9,11328.0,2920.0,9256.0,4,6,1747.1,478.45,1,1189.4,3955.6,1,1,1.0
415630.0,5006.6,8151.3,552.0,4792.0,2,3,1292.4,2975.6,1,181.02,936.89,2,0,1.0
438230.0,5722.8,7013.4,4896.0,7195.9,5,7,2477.9,683.37,1,1373.8,1632.5,2,0,1.0
467590.0,3236.6,4481.1,871.9,4056.0,3,7,1089.3,447.72,1,264.65,1106.6,1,1,1.0
484090.0,5671.5,12868.0,6655.9,4968.0,10,5,840.35,614.12,4,2261.2,1665.2,2,0,3.0
517930.0,1987.7,3301.7,1440.0,4780.0,3,7,589.5,666.1,1,505.9,1065.6,2,0,1.0
533430.0,4004.3,5097.7,3896.0,5816.0,6,7,2306.6,343.35,1,1473.3,2752.2,2,0,1.0
556060.0,12212.0,18139.0,984.0,9192.0,2,5,3483.0,1427.2,1,271.53,7037.2,2,0,1.0
597900.0,7612.5,12536.0,3752.0,8056.0,5,7,2578.1,311.3,1,1344.7,5517.4,2,0,1.0
635860.0,1269.8,35828.0,872.0,6667.9,2,5,2439.5,838.83,1,305.47,11161.0,1,1,1.0
684250.0,3660.4,9999.0,3616.0,8228.0,4,6,2250.1,538.95,1,1527.8,4333.5,2,0,1.0
714130.0,1159.8,5851.6,496.0,3348.0,2,5,526.8,571.03,1,181.02,892.07,2,0,7.0
729410.0,3028.6,11111.0,5039.9,5908.0,4,5,2867.7,966.1,1,1574.4,5256.8,2,0,1.0
758420.0,6918.9,16970.0,5768.0,6340.0,3,8,2316.0,406.65,1,2003.9,1709.6,2,0,7.0
798500.0,15171.0,15243.0,9928.0,9624.0,9,7,1850.3,505.36,4,3545.1,6848.3,2,0,4.0
853210.0,4618.4,8057.3,1704.0,5036.1,3,9,1243.3,436.69,1,704.79,1616.4,2,0,1.0
876960.0,4162.2,27770.0,5744.0,7744.0,6,5,1914.8,475.47,2,1754.8,12460.0,2,0,10.0
926660.0,4156.2,7537.1,2416.0,3160.0,2,5,394.4,441.87,1,893.71,1394.7,1,1,1.0
947960.0,34248.0,30938.0,6672.0,8640.0,6,3,1721.1,985.97,2,1847.2,11143.0,2,0,8.0
1033900.0,1274.1,10551.0,872.0,7208.0,3,6,2405.8,856.55,1,264.65,1662.6,2,0,1.0
1058300.0,6050.1,18076.0,4880.0,7132.0,6,7,1398.7,619.53,2,1534.8,6300.8,2,0,8.0
1101600.0,3723.7,5078.5,1472.0,4684.0,3,5,931.4,812.2,1,589.24,1765.5,2,0,1.0
1120300.0,2218.3,11719.0,7056.0,5988.0,7,3,1243.7,1042.2,2,1861.2,3174.3,2,0,8.0
1151000.0,1382.3,5608.6,800.0,3556.0,2,4,1535.0,524.5,1,209.3,1155.5,2,0,1.0
1166300.0,5593.5,2724.7,5008.0,7444.0,7,3,952.7,707.65,2,1217.9,4019.7,2,0,8.0
1191400.0,2009.6,12412.0,1000.0,3028.0,3,4,870.7,608.65,1,356.91,1043.8,2,0,1.0
1213700.0,4636.6,9256.9,5552.0,215.9,6,1,1241.9,932.07,2,1354.3,3761.7,2,0,8.0
1246900.0,1215.2,21886.0,4200.0,5808.0,4,6,1870.2,745.45,1,2174.4,6746.4,2,0,1.0
1284000.0,5217.0,6344.4,5968.0,4888.0,7,3,1503.8,686.1,2,1785.8,3091.0,2,0,8.0
1310800.0,857.3,5486.2,552.0,2764.0,2,4,966.2,338.9,1,226.27,946.92,2,0,1.0
1324600.0,2820.5,12925.0,6560.0,2672.0,7,6,792.2,1179.9,2,1058.1,3088.4,2,0,8.0
1353200.0,2801.5,10478.0,3032.0,4432.0,3,5,1389.2,470.27,1,1409.9,1534.7,2,0,1.0
1377700.0,5498.9,12874.0,4424.0,9720.1,9,1,1044.8,346.38,2,1404.9,,2,0,8.0
1415000.0,2680.0,7827.9,776.0,8144.0,2,3,1756.3,3315.7,1,214.96,2449.1,1,1,1.0
1438900.0,3150.1,10310.0,4704.0,6684.0,6,5,1383.8,578.83,2,1611.5,2262.3,2,0,10.0
1468200.0,1025.9,11408.0,623.9,5315.9,3,5,1473.5,1062.1,1,208.41,2487.8,1,1,inf
1490900.0,4233.5,9311.4,7088.0,8568.0,13,10,491.98,640.59,5,1321.3,2960.8,2,0,9.0
1524600.0,1748.9,16457.0,896.0,3736.0,3,5,1109.5,687.5,1,213.52,3376.3,1,1,1.0
1551700.0,4655.7,9813.6,5088.0,7528.0,5,3,2610.8,735.07,1,1372.2,4588.6,2,0,1.0
1583100.0,5097.5,12620.0,920.0,4284.0,3,3,396.8,2327.2,1,164.41,2400.6,2,0,inf
1610400.0,1371.2,8802.7,6368.0,7288.0,8,8,1890.8,474.1,2,2197.5,3117.5,2,0,10.0
1638200.0,863.5,7579.5,576.0,6040.0,3,5,1902.4,1080.5,1,176.42,1419.0,2,0,1.0
1657900.0,4314.5,3518.6,5184.0,5356.0,8,5,1452.8,404.5,2,1669.5,2554.0,2,0,10.0
1680000.0,1293.7,6593.4,632.0,3484.0,3,5,1728.2,409.27,1,208.46,1259.0,2,0,1.0
1695800.0,1365.7,8061.2,6479.9,9436.0,10,6,1033.2,518.03,3,1724.3,3072.9,2,0,10.0
1726300.0,1285.8,9706.3,1071.9,3632.0,3,7,1482.5,248.28,1,454.12,1198.0,1,1,1.0
1745900.0,1679.1,3730.6,3032.0,3788.0,5,8,1772.6,369.13,1,1151.6,1150.0,2,0,1.0
1762200.0,822.3,7412.6,624.0,4992.0,2,5,1108.0,197.3,1,181.02,1831.7,1,1,1.0
1779700.0,3944.1,4094.0,5024.0,2784.0,6,2,1372.0,669.3,2,1491.1,1728.2,2,0,10.0
1799100.0,1817.1,4668.8,656.0,2964.0,3,5,1127.4,285.53,1,200.0,1121.6,2,0,1.0
1813400.0,5700.6,5347.5,4512.0,4372.0,7,6,1297.2,419.4,2,1462.2,1459.7,2,0,10.0
1837000.0,822.2,5129.7,528.0,3768.0,2,4,1611.8,450.1,1,181.02,1890.1,2,0,inf
1851000.0,2113.1,3080.3,5248.0,7104.0,11,8,742.2,330.53,4,1515.2,2191.0,2,0,10.0
1872600.0,1713.1,8661.3,1112.0,1928.0,2,4,846.7,248.65,1,526.09,1318.3,2,0,1.0
1889800.0,1157.4,10520.0,3168.0,3524.0,4,8,1041.8,542.25,2,985.32,1129.3,2,0,10.0
1912300.0,460.4,7086.9,704.0,3840.0,3,6,747.1,369.23,1,228.01,1095.1,2,0,1.0
1928300.0,4605.5,3990.5,3888.0,2228.0,6,4,1264.6,362.27,2,1283.7,936.89,2,0,10.0
1946900.0,5275.3,5472.1,2784.0,4135.9,3,8,1597.9,357.67,1,1269.3,2350.6,2,0,1.0
1968500.0,3697.3,9644.8,7287.9,9392.0,10,11,729.65,829.06,4,1387.9,2933.8,2,0,10.0
2003300.0,1144.4,5209.6,1528.0,3436.0,3,5,549.4,684.87,1,288.11,804.89,2,0,1.0
2018900.0,2581.8,2877.4,4280.0,2816.0,6,6,1500.0,365.33,2,1403.8,1055.3,2,0,10.0
2035900.0,1081.7,8987.6,4688.0,3696.0,4,6,467.6,690.2,2,2253.7,2240.2,2,0,inf
