TrialStart,S1_PlanTime,S2_PlanTime,S1_MoveTime,S2_MoveTime,S1_NMoves,S2_NMoves,TimeTarget,TimeNonTarget,NTargets,S1_MoveSTD,S2_MoveSTD,Feedback,Accuracy,Signal
17.7,3341.8,3787.2,5336.0,6320.0,6,7,1624.1,773.98,1,1446.8,2659.3,2,0,1.0
23354.0,2465.6,3631.8,1488.0,7004.0,3,7,1721.0,890.22,1,1140.9,2676.5,1,1,1.0
42353.0,3761.4,3730.2,6512.0,3340.0,6,5,1258.3,1095.4,1,1824.6,1556.9,2,0,1.0
63971.0,3130.3,7943.6,2136.0,6388.0,3,5,,1383.0,0,498.6,1216.1,2,0,inf
87757.0,4178.8,5743.7,9952.0,7575.9,10,9,1449.0,800.73,3,3018.1,2808.5,2,0,11.0
119020.0,4961.9,7400.3,2040.0,4560.0,1,2,,2280.0,1,,4330.5,2,0,1.0
147740.0,8063.7,4152.1,6623.9,8788.0,8,6,1493.6,748.38,1,1839.4,3176.2,2,0,1.0
179020.0,3458.4,8509.9,2880.0,9724.0,5,7,1764.5,888.67,4,1558.8,3613.2,2,0,3.0
208060.0,9054.2,3382.6,7408.0,8368.0,10,4,1307.1,613.97,2,2366.2,3422.3,2,0,3.0
242250.0,4187.1,15837.0,728.0,7636.0,2,7,1702.7,1011.5,1,893.63,2012.4,1,1,1.0
274850.0,5279.0,6600.6,7127.9,9952.0,7,8,2642.9,785.0,1,2116.7,3789.7,2,0,1.0
307870.0,4186.9,9202.8,2791.9,8504.0,3,5,2927.8,882.83,2,1634.5,2824.6,2,0,1.0
338100.0,3057.2,4181.1,8216.0,10004.0,4,6,3309.4,2133.3,1,2584.8,3888.8,2,0,1.0
367410.0,4988.2,9895.0,944.0,6244.0,2,3,1564.2,1815.8,1,968.66,2921.6,2,0,inf
393880.0,9235.9,2678.1,5808.0,1564.0,5,2,1926.0,1000.7,1,1650.2,738.22,2,0,1.0
425690.0,2036.9,5485.5,1312.0,5692.0,3,7,1140.1,672.78,1,859.35,1759.2,1,1,1.0
444220.0,5578.5,2488.8,7784.0,8663.9,10,7,720.17,862.26,4,2103.0,2871.0,2,0,3.0
473110.0,5059.8,3428.3,4400.0,2976.0,3,2,,1488.0,1,1148.3,5183.1,2,0,1.0
500570.0,3997.8,5506.6,6943.9,5452.0,7,5,1943.4,764.9,1,1962.9,1804.5,2,0,1.0
531240.0,2610.1,3756.1,1112.0,4228.0,2,4,1298.3,906.85,1,896.08,1923.3,2,0,1.0
547420.0,5685.6,2385.7,5384.0,4008.0,6,5,1947.0,725.25,1,2410.7,1355.5,2,0,1.0
568920.0,2977.6,7887.8,1224.0,9880.0,2,3,8649.6,615.2,1,594.04,4406.4,2,0,1.0
594960.0,2599.5,2392.1,4728.0,5468.0,4,6,2344.1,935.95,1,1693.2,1782.2,2,0,1.0
618600.0,2516.1,6715.4,840.0,8356.0,2,7,1287.2,901.76,1,817.51,2207.5,2,0,7.0
641520.0,8050.6,1895.8,4160.0,6552.0,4,6,1709.3,717.35,1,1285.0,2270.9,2,0,1.0
666320.0,3781.2,9151.7,3488.0,7363.9,5,10,864.08,683.12,4,1006.3,2573.0,2,0,4.0
694610.0,4331.8,3614.5,9312.0,9988.0,9,12,1317.5,808.42,4,2918.8,3334.4,2,0,4.0
726720.0,5165.9,4086.8,1512.0,6616.0,3,7,2847.7,648.86,1,977.06,2186.8,2,0,1.0
748520.0,3369.2,3273.8,9552.0,4832.0,8,4,1553.8,1104.7,3,2681.2,1385.7,2,0,8.0
778550.0,3969.3,15231.0,3544.0,9644.0,4,2,6391.9,3252.1,1,1680.1,3892.0,2,0,1.0
815160.0,1903.9,2687.0,8792.0,8596.0,12,9,669.5,823.8,6,2315.1,2970.6,2,0,10.0
840850.0,5817.8,12250.0,2760.0,9007.9,5,6,,1501.3,1,1403.2,4592.9,2,0,inf
