TrialStart,S1_PlanTime,S2_PlanTime,S1_MoveTime,S2_MoveTime,S1_NMoves,S2_NMoves,TimeTarget,TimeNonTarget,NTargets,S1_MoveSTD,S2_MoveSTD,Feedback,Accuracy,Signal
17.7,1903.8,1402.5,3616.0,3836.0,6,3,1466.1,481.48,1,1102.4,1262.4,1,1,1.0
14596.0,1740.2,1478.7,1312.0,3176.0,3,7,923.0,391.4,1,826.58,930.28,1,1,1.0
26390.0,3126.4,1017.8,3247.9,1256.0,6,3,1180.6,440.85,1,1063.9,530.28,1,1,1.0
39000.0,3342.1,2440.1,880.0,2508.1,2,3,1509.9,630.2,1,724.27,1000.9,1,1,1.0
51827.0,3182.9,1466.9,7192.0,4092.0,11,6,886.55,446.3,4,2263.0,1547.8,1,1,3.0
72161.0,1186.9,3789.2,3704.0,4700.0,4,9,852.5,427.17,2,1661.6,1477.0,1,1,3.0
89242.0,3343.1,1476.5,5432.0,1816.0,8,3,1448.9,459.85,1,1530.6,768.72,1,1,1.0
105740.0,1162.0,3269.9,2776.0,6224.0,5,13,651.4,401.8,4,912.57,1947.1,1,1,3.0
123020.0,2706.0,1222.0,6016.0,2036.0,10,4,1040.6,418.11,2,1838.3,750.94,1,1,3.0
139100.0,1526.4,2046.6,2672.0,2956.0,3,5,1384.8,394.4,1,1155.4,933.71,1,1,1.0
152380.0,3515.4,1855.7,7351.9,2703.9,7,5,3362.1,700.36,1,2215.3,1044.3,2,0,6.0
172130.0,2423.9,7303.6,2271.9,5136.0,3,5,1614.3,437.65,2,968.66,1832.3,2,0,1.0
193630.0,33428.0,2458.3,5431.9,4787.9,6,4,2773.4,546.62,1,2013.5,2046.9,2,0,1.0
243770.0,3440.6,6793.5,1576.0,5372.0,3,4,2732.3,991.85,1,964.27,2086.1,2,0,1.0
265100.0,6604.7,4324.7,3776.0,1856.0,5,2,1369.4,650.2,1,1108.1,1713.8,1,1,1.0
285390.0,1403.7,5303.0,1488.0,4280.0,3,7,524.5,625.92,1,599.11,1373.0,2,0,1.0
301740.0,5459.5,3105.1,7824.0,2796.0,10,3,1131.8,502.56,4,2580.9,1235.9,2,0,3.0
325490.0,1710.0,3769.3,2872.0,4252.0,3,7,1808.4,429.52,1,1293.2,1477.8,2,0,1.0
342390.0,3288.4,3236.5,3760.0,3292.0,6,4,1333.7,406.57,1,1162.2,1525.9,2,0,1.0
359770.0,1719.5,4044.9,5920.0,2456.0,3,4,1424.8,355.6,1,1735.3,895.53,1,1,1.0
378170.0,4809.1,3283.0,2488.0,4448.0,5,4,459.0,447.0,1,822.04,1979.5,2,0,1.0
397280.0,1195.5,6322.9,2640.0,4148.0,3,5,2454.8,348.4,1,992.53,1392.2,2,0,1.0
415250.0,2148.0,1607.3,2656.0,2544.0,4,4,1488.4,427.8,1,1058.5,926.47,2,0,1.0
427810.0,1985.0,7132.9,1504.0,3156.0,2,5,1666.1,391.3,1,791.96,982.16,2,0,7.0
445940.0,2653.2,1583.6,3264.0,1600.0,4,2,1013.3,965.35,1,713.79,978.64,1,1,1.0
459280.0,2945.4,6115.3,4072.0,4040.6,4,7,1882.2,377.28,1,1670.8,1340.0,2,0,7.0
480230.0,2770.8,1399.9,7880.0,2700.0,8,6,1943.7,440.23,3,2962.9,753.48,1,1,4.0
499120.0,2392.8,5458.4,7264.0,3684.0,4,9,557.8,376.73,2,3091.2,1142.0,2,0,8.0
522100.0,6345.1,1746.5,4792.0,5112.0,5,3,1496.8,747.2,2,1515.2,1593.2,1,1,1.0
544570.0,2149.2,4335.6,4992.0,3356.0,3,7,732.9,407.55,2,2090.5,934.26,2,0,8.0
563220.0,4626.2,2595.5,5816.0,3236.0,7,6,1086.5,591.05,4,1964.2,876.0,1,1,1.0
584000.0,1633.3,9940.5,3656.0,5124.0,4,7,1251.3,404.35,2,1087.0,1605.1,2,0,8.0
608520.0,1623.1,1670.0,5352.0,3648.0,6,4,896.25,1114.5,2,964.85,1447.2,2,0,8.0
625390.0,3446.6,13580.0,3312.0,5756.0,5,7,1428.7,412.63,3,1027.6,2181.1,1,1,1.0
655750.0,5472.2,1710.5,3776.0,3728.0,7,4,619.05,484.48,2,1084.1,1323.3,1,1,8.0
674630.0,1365.5,4897.5,3384.0,4800.0,5,6,1344.7,606.2,2,1033.0,1350.9,1,1,8.0
692780.0,3012.4,1111.7,5824.0,4780.0,9,5,891.1,646.97,2,1805.2,1454.1,2,0,8.0
711230.0,2916.9,5303.8,3720.0,3672.0,5,6,524.8,532.8,2,1189.5,949.59,1,1,8.0
730560.0,3052.1,4744.9,2416.0,3500.0,1,1,524.8,532.8,0,,,2,0,inf
748260.0,2628.4,2727.4,2088.0,4000.0,5,8,614.3,315.08,2,697.66,1085.7,1,1,8.0
763750.0,2427.4,931.3,4920.0,2076.0,7,4,1291.2,490.43,2,1496.0,711.93,1,1,8.0
778650.0,1744.8,5563.7,2632.0,2728.0,5,6,538.4,291.73,2,830.03,832.71,1,1,8.0
795080.0,3361.6,3460.8,4792.0,4148.0,9,5,1056.3,401.22,2,1382.9,1837.6,1,1,8.0
