TrialStart,S1_PlanTime,S2_PlanTime,S1_MoveTime,S2_MoveTime,S1_NMoves,S2_NMoves,TimeTarget,TimeNonTarget,NTargets,S1_MoveSTD,S2_MoveSTD,Feedback,Accuracy,Signal
17.7,3494.5,1480.9,3992.0,2100.0,6,7,1549.1,498.73,1,1316.6,718.06,1,1,1.0
15147.0,1874.9,4638.1,1184.0,3079.9,3,8,890.8,230.18,1,863.2,892.88,1,1,1.0
29776.0,3953.4,1244.7,4880.0,1256.0,6,4,1532.4,514.9,1,1318.2,448.97,1,1,1.0
45539.0,1708.6,6367.1,7776.0,2316.0,7,3,1729.1,422.9,1,2477.3,1057.4,2,0,1.0
70159.0,11424.0,2112.2,5912.0,2588.0,11,8,687.23,392.52,4,1626.1,732.57,1,1,3.0
96481.0,2335.9,4689.2,2592.0,3275.9,4,9,697.75,207.4,2,1275.7,1012.8,1,1,3.0
113090.0,5471.3,1928.0,3424.0,1236.0,7,3,1805.8,285.24,1,1163.2,539.87,2,0,1.0
128870.0,1454.3,5798.0,1456.0,4184.0,5,9,449.2,386.8,4,443.87,1304.2,1,1,3.0
145820.0,4650.9,4858.6,2112.0,1812.0,3,3,1040.5,535.75,1,689.49,716.95,2,0,1.0
162900.0,1916.5,2624.0,1384.0,2352.0,2,5,1439.2,214.93,1,746.7,804.33,1,1,1.0
175660.0,9633.4,3633.2,5759.9,1888.0,10,4,1050.7,360.36,2,1457.7,770.71,1,1,10.0
200230.0,3051.8,9220.8,2296.0,2460.0,1,5,1304.3,293.23,1,,736.49,2,0,1.0
221070.0,8187.1,1885.4,5080.0,868.0,5,3,1879.1,696.3,1,1450.9,302.97,2,0,1.0
241380.0,3326.5,24404.0,2272.0,3663.9,3,5,1370.0,320.0,2,505.35,1510.0,1,1,10.0
278900.0,5997.4,1526.8,4360.0,552.0,5,2,2404.5,534.5,1,1308.1,263.04,1,1,1.0
295180.0,1493.1,4737.4,1000.0,2024.0,3,7,1014.1,169.98,1,381.58,703.65,1,1,1.0
308770.0,4166.1,2547.1,5904.0,1920.0,10,6,795.58,445.14,4,2091.8,593.5,1,1,3.0
327660.0,2304.9,5730.9,1424.0,3920.0,4,9,657.4,268.2,2,490.57,1203.0,1,1,10.0
345600.0,5612.3,1148.2,5647.9,588.0,6,3,2124.5,698.85,1,1438.9,198.03,1,1,1.0
362850.0,1717.2,2997.0,1096.0,2384.0,3,6,667.9,224.07,2,396.57,778.94,1,1,10.0
375560.0,4151.9,1405.2,4632.0,348.0,5,2,2010.4,551.2,1,1241.0,152.74,1,1,1.0
389710.0,1357.2,1844.3,1448.0,1948.0,4,5,1030.1,251.3,1,589.09,597.54,1,1,1.0
400470.0,3337.5,1199.6,5432.1,520.0,4,3,1884.6,1125.8,1,1631.8,170.19,1,1,1.0
414910.0,2309.1,6292.4,1296.0,3288.0,3,7,995.15,287.43,2,469.64,1014.2,1,1,10.0
431860.0,5900.8,1370.5,3264.0,772.0,4,2,2136.5,335.75,1,1255.6,234.76,1,1,1.0
447020.0,6286.8,6020.8,656.0,1168.0,1,3,682.3,242.85,1,673.17,462.71,2,0,1.0
465150.0,14567.0,3545.3,6360.0,1928.0,12,6,736.98,316.01,4,1653.8,638.06,1,1,10.0
495980.0,1752.1,5108.6,3335.9,4308.0,6,13,537.08,187.96,4,1157.7,1256.1,1,1,10.0
514640.0,11376.0,1940.2,6648.0,1492.0,6,3,1262.0,1193.3,2,1265.3,487.32,1,1,10.0
540030.0,2468.9,7631.5,3424.0,2816.0,2,5,1008.5,527.83,1,950.35,610.44,1,1,1.0
