TrialStart,S1_PlanTime,S2_PlanTime,S1_MoveTime,S2_MoveTime,S1_NMoves,S2_NMoves,TimeTarget,TimeNonTarget,NTargets,S1_MoveSTD,S2_MoveSTD,Feedback,Accuracy,Signal
17.7,1795.2,813.2,2952.0,1224.0,6,3,1068.6,370.85,1,937.94,381.79,1,1,1.0
11277.0,1196.2,3599.6,648.0,2940.0,3,7,1037.0,299.0,1,218.41,930.4,1,1,1.0
23554.0,568.6,2120.3,4624.0,1724.0,6,3,2463.3,476.18,1,1570.3,720.56,1,1,1.0
36731.0,1330.7,5014.9,1679.9,3223.9,2,3,1950.2,957.8,1,446.89,1233.0,1,1,1.0
52211.0,686.7,2314.6,9016.0,2868.0,15,6,1093.1,438.76,4,2840.7,1348.1,1,1,3.0
71243.0,1404.6,6081.9,1496.0,5896.0,4,9,1079.0,495.67,2,392.97,1682.3,1,1,3.0
90676.0,1185.5,866.4,5744.0,3028.0,8,3,1980.6,505.9,1,1711.9,681.45,1,1,1.0
105560.0,1325.7,4498.2,1496.0,5796.0,5,9,925.4,397.6,4,667.52,1844.0,1,1,3.0
122940.0,1187.8,2351.3,6664.0,2768.0,12,3,1225.7,433.4,2,2094.0,1521.8,2,0,3.0
140180.0,1181.6,4037.5,1408.0,3012.0,2,5,1552.0,376.0,1,356.38,938.17,1,1,1.0
154080.0,1679.1,2076.4,7207.9,1035.9,8,3,1852.7,566.1,2,2387.6,366.09,2,0,1.0
169730.0,1775.2,4823.9,448.0,3224.0,2,5,1604.1,442.63,1,550.34,932.63,1,1,1.0
183870.0,1277.1,2515.1,3472.0,1228.0,4,3,2167.5,496.25,1,1442.6,771.28,1,1,1.0
196660.0,3846.8,9241.0,2608.0,6196.0,3,9,604.3,789.42,3,1821.4,1616.2,2,0,9.0
223020.0,2601.9,1814.1,6016.0,1260.0,5,2,2981.2,899.6,1,1676.0,656.2,1,1,1.0
238970.0,1590.6,4324.2,2456.0,3160.0,4,7,1272.9,301.42,1,935.04,1004.1,1,1,1.0
