TrialStart,S1_PlanTime,S2_PlanTime,S1_MoveTime,S2_MoveTime,S1_NMoves,S2_NMoves,TimeTarget,TimeNonTarget,NTargets,S1_MoveSTD,S2_MoveSTD,Feedback,Accuracy,Signal
2017.7,48738.0,1294.8,3168.0,988.0,6,3,1015.3,392.18,1,893.06,342.86,1,1,1.0
60116.0,1554.3,2374.4,640.0,2664.1,3,7,1187.6,254.5,1,220.61,885.51,1,1,1.0
71859.0,1863.5,1517.3,2473.3,832.0,6,3,1315.7,239.4,1,899.84,296.58,1,1,1.0
82868.0,2995.4,3674.5,1256.0,2424.0,2,3,1754.7,413.3,1,475.18,1097.5,1,1,1.0
97414.0,10992.0,1789.9,5680.0,3300.0,15,6,565.12,317.95,4,1673.5,1080.5,1,1,3.0
123450.0,1575.6,3981.8,1331.9,4148.0,4,9,851.6,319.47,2,467.51,1309.1,1,1,3.0
138330.0,7490.8,3693.4,3176.0,856.0,7,3,1518.9,273.82,1,1058.9,312.06,2,0,1.0
158010.0,4056.9,5381.1,2040.0,5256.0,5,9,653.23,439.77,4,558.93,1607.1,1,1,3.0
178550.0,5884.5,1831.9,4568.0,2436.0,10,4,813.65,375.53,2,1460.6,1261.2,1,1,3.0
197280.0,2417.1,4689.3,528.0,2712.0,2,5,1752.8,238.4,1,181.02,963.42,1,1,1.0
212060.0,3940.5,3765.3,6368.0,2352.0,7,4,477.1,1043.8,1,1133.5,954.55,1,1,6.0
232730.0,2227.3,13113.0,872.0,2740.0,2,5,1629.0,262.2,1,284.4,917.1,1,1,1.0
255290.0,4599.5,2541.2,3144.0,1584.0,4,3,1687.9,428.05,1,1269.6,952.59,1,1,1.0
271040.0,3299.3,7662.6,1544.0,5796.0,3,9,1282.4,305.78,3,609.07,2025.9,1,1,15.0
293910.0,10610.0,1342.9,4312.0,768.0,5,2,1446.4,792.53,1,951.17,381.84,1,1,1.0
315160.0,3088.2,2478.7,904.0,3692.0,3,7,2325.9,219.62,1,265.45,1440.2,1,1,1.0
329810.0,4811.7,1692.2,3656.0,3603.9,10,6,376.15,335.88,4,1000.8,1213.3,1,1,3.0
348120.0,2707.7,1571.3,1408.0,4248.0,4,11,859.35,267.66,2,513.17,1412.4,1,1,15.0
362580.0,6099.9,1363.7,3856.0,2464.0,10,4,594.7,328.37,2,1056.8,741.55,2,0,15.0
380880.0,2358.3,6678.3,888.0,3652.0,3,8,991.25,279.5,2,308.01,1298.7,1,1,15.0
