TrialStart,S1_PlanTime,S2_PlanTime,S1_MoveTime,S2_MoveTime,S1_NMoves,S2_NMoves,TimeTarget,TimeNonTarget,NTargets,S1_MoveSTD,S2_MoveSTD,Feedback,Accuracy,Signal
2017.7,2796.2,993.1,3600.0,1060.0,6,3,921.0,549.75,1,1067.2,403.51,1,1,1.0
14662.0,1284.4,2118.2,1192.0,3052.0,3,7,1121.4,291.7,1,432.89,911.98,1,1,1.0
26121.0,2193.6,812.3,2784.0,864.0,6,3,888.6,395.85,1,883.71,319.95,1,1,1.0
36847.0,1821.5,2251.3,912.0,3716.0,3,8,461.7,464.9,1,304.14,1173.6,2,0,1.0
49841.0,43705.0,1729.4,6728.0,2380.0,10,3,988.7,618.09,2,1529.8,1045.7,2,0,inf
108670.0,1340.3,4430.4,2408.0,5068.0,4,9,666.8,515.92,3,637.19,1406.4,1,1,3.0
126220.0,2764.6,1247.5,3688.0,3428.0,7,4,1070.9,461.02,1,1061.8,1625.1,2,0,1.0
141250.0,1173.1,2870.5,2800.0,5832.0,5,9,677.22,632.63,5,938.57,1831.8,1,1,3.0
157610.0,2662.3,2195.1,6864.0,2000.1,10,4,1640.3,418.19,2,2230.5,1099.9,1,1,3.0
175580.0,2261.9,2469.7,2248.0,3435.9,3,5,1623.9,412.03,1,979.11,994.01,1,1,1.0
190090.0,1227.5,4779.1,6664.0,7188.0,15,4,393.12,386.04,5,1650.8,3047.3,1,1,9.0
213940.0,1788.4,6604.2,1016.0,5880.1,2,5,1928.9,1077.1,1,497.8,1245.0,1,1,1.0
233530.0,2150.8,2517.0,4992.0,1964.0,4,3,1486.9,576.55,1,1932.2,1179.3,1,1,1.0
249160.0,4615.8,4204.2,1680.0,5650.6,3,5,1765.5,822.5,2,695.69,1692.3,1,1,10.0
269090.0,3184.0,1690.8,4928.0,1336.0,5,2,1346.4,892.53,1,1693.2,1047.2,1,1,1.0
284140.0,1168.8,5946.0,952.0,3332.0,3,7,1600.7,277.46,1,358.16,1072.4,1,1,1.0
299800.0,2842.8,1485.9,6336.0,1988.1,10,6,889.62,425.9,4,2137.2,920.02,1,1,3.0
316760.0,1324.5,2689.1,1440.0,5792.0,4,9,1058.0,378.68,2,498.63,1647.1,1,1,10.0
332110.0,2092.3,1477.6,3016.0,912.0,6,3,735.2,488.2,1,911.04,549.64,1,1,1.0
343530.0,2523.3,3351.4,2752.0,4531.9,3,6,1334.6,436.93,2,1167.0,1425.0,1,1,10.0
360930.0,1991.2,1613.0,3304.0,1400.0,5,2,1515.3,465.57,1,1036.6,738.22,1,1,1.0
372890.0,1628.2,2531.3,752.0,3460.5,2,5,1883.6,338.83,1,350.72,1095.1,1,1,1.0
385070.0,2121.1,1705.7,3000.0,1091.9,4,3,1534.0,533.0,1,1157.1,665.63,1,1,1.0
396780.0,1271.6,2396.6,1688.0,4232.0,3,7,937.45,413.27,2,673.97,1198.1,1,1,10.0
410470.0,1801.4,1216.6,2472.0,748.1,4,2,982.4,532.8,1,810.94,418.61,1,1,1.0
421170.0,2581.1,1835.9,1768.0,3660.0,2,3,1975.3,842.35,1,452.55,1259.8,2,0,inf
434860.0,4276.1,5312.3,7816.0,2860.0,10,6,1261.0,447.18,4,2618.9,724.88,1,1,4.0
459260.0,1939.0,5142.4,4544.0,8316.0,5,11,1476.6,463.74,3,1679.6,3044.2,2,0,9.0
483720.0,3764.6,5220.1,8248.0,2980.0,9,4,1261.2,820.9,3,2025.2,937.24,2,0,inf
508400.0,1445.4,2603.4,728.0,3752.1,2,5,1764.9,427.73,1,294.16,1075.3,1,1,1.0
521520.0,2649.1,1697.6,9048.0,2792.0,10,6,1203.8,740.94,4,2344.9,884.2,1,1,10.0
541530.0,1651.5,7356.7,3648.0,8291.9,6,12,858.77,601.84,4,1228.3,2195.6,1,1,10.0
566250.0,4966.6,1460.1,5440.0,2372.0,6,3,1256.8,858.17,2,1717.5,1009.2,1,1,10.0
584330.0,1728.4,1639.7,2880.0,6028.0,5,9,1188.8,421.92,3,1063.5,2082.9,1,1,10.0
600550.0,3584.3,1194.7,5712.0,1508.0,7,4,1322.5,610.77,2,1795.6,528.03,1,1,10.0
616980.0,1739.3,2071.7,3368.0,6984.0,6,10,1180.6,337.92,4,1128.5,2016.6,2,0,10.0
635290.0,3738.6,842.3,9752.0,2272.0,11,6,1338.0,638.7,4,2633.3,667.02,1,1,10.0
655630.0,2990.8,7242.8,2496.0,8576.0,5,8,2049.6,531.77,3,857.9,2769.3,1,1,10.0
681280.0,2748.1,1250.8,5464.0,1103.9,6,3,1248.7,876.9,2,1482.7,418.16,1,1,10.0
696040.0,1601.9,2278.2,2552.0,9144.0,5,10,1894.4,413.47,3,877.43,3073.0,1,1,10.0
715560.0,2326.6,780.3,4728.0,1616.0,7,4,1185.5,497.25,2,1521.3,482.0,1,1,10.0
728790.0,1388.2,2529.5,2864.0,7628.0,5,10,1351.0,364.8,4,962.78,2235.7,1,1,10.0
747370.0,1880.5,1144.7,5992.0,1744.0,9,5,1021.1,518.54,3,1829.4,592.41,1,1,10.0
762420.0,1248.1,1660.2,1424.0,6324.0,4,7,2197.1,368.45,2,468.0,2289.9,1,1,10.0
777260.0,1584.2,1158.5,6240.0,1056.1,9,4,1580.4,449.2,2,1983.4,351.82,1,1,10.0
791690.0,2069.4,1844.6,1040.0,5032.0,2,3,3874.6,925.4,1,446.89,2314.6,1,1,1.0
805800.0,4323.3,3558.7,4656.0,1628.0,6,4,1307.5,547.03,2,1557.9,527.02,1,1,10.0
824180.0,1379.0,3891.8,1024.0,4100.0,3,5,3031.7,265.4,1,400.24,1857.0,1,1,1.0
838500.0,4977.9,862.4,5152.0,2395.9,9,5,906.43,412.94,3,1618.4,684.95,1,1,10.0
856380.0,1073.4,1009.9,1296.0,4147.9,3,5,3079.5,256.17,1,521.99,1876.6,1,1,1.0
868520.0,1622.3,881.7,3336.0,836.0,5,2,1510.6,483.13,1,1024.0,331.0,1,1,1.0
879760.0,1970.6,3397.9,4600.0,5939.9,4,7,1169.5,681.2,3,1653.1,1905.2,1,1,10.0
900130.0,3678.2,1108.9,5416.0,2171.9,8,4,1459.8,427.3,2,1840.1,582.25,1,1,10.0
916830.0,1423.2,6049.2,3464.0,9923.6,6,9,1985.8,396.1,4,1153.1,3520.8,2,0,10.0
941860.0,2084.0,1514.5,7112.0,4804.0,8,3,1615.8,704.06,2,1988.7,1661.5,2,0,10.0
961200.0,1346.2,2650.8,2848.0,7499.9,6,11,1261.7,358.23,4,951.64,2435.7,1,1,10.0
980110.0,3404.4,1078.2,6688.0,1472.0,10,5,1138.8,482.58,3,2019.5,458.45,1,1,10.0
997140.0,1062.6,2364.3,1182.5,4287.9,3,7,2644.0,222.4,1,463.6,1585.8,1,1,1.0
1009800.0,1199.7,2019.4,3456.0,1500.0,5,3,1697.4,466.2,1,1245.5,550.35,1,1,1.0
1021600.0,1033.8,2756.7,800.0,5284.0,2,5,4159.0,269.67,1,294.16,2033.5,1,1,1.0
1036000.0,1307.3,1287.0,4144.0,1532.1,6,3,1136.8,514.13,2,1265.7,656.66,1,1,10.0
1048700.0,1322.7,1983.2,2080.0,7184.0,5,9,1611.4,348.36,3,712.93,2430.7,1,1,10.0
1065400.0,2214.8,790.5,4007.5,980.0,7,4,1085.5,381.23,2,1371.6,321.26,1,1,10.0
1077900.0,1500.5,2275.1,3120.0,7299.7,5,10,1385.5,272.44,4,1006.3,2138.0,1,1,10.0
1096000.0,1664.7,1724.7,6608.0,1472.0,11,6,928.67,412.88,4,1988.8,447.23,1,1,10.0
1111200.0,1476.3,1459.6,2560.0,7092.0,5,8,1781.2,347.73,3,948.41,2383.6,1,1,10.0
1127600.0,1808.9,3382.6,2904.0,5023.9,1,2,1781.2,347.73,0,,1592.4,2,0,inf
1144800.0,2404.9,6333.4,3160.0,6159.9,5,10,1192.8,327.58,3,1234.9,1988.1,1,1,10.0
1166900.0,2650.5,812.2,4304.0,1016.0,6,3,1197.9,521.4,2,1390.7,400.08,1,1,10.0
1179400.0,1866.5,6493.9,680.0,4612.0,2,5,3519.8,262.73,1,243.24,1740.9,1,1,1.0
1197300.0,1816.6,1738.8,7784.0,1872.0,10,6,1255.4,475.68,4,2408.8,859.66,1,1,10.0
1215100.0,919.2,1392.9,3040.0,8396.0,6,11,1573.6,248.27,4,967.39,2787.6,1,1,10.0
1233100.0,1773.9,1789.5,5344.0,1732.0,6,3,1444.5,695.7,2,1564.5,696.7,1,1,10.0
1247900.0,1321.4,1502.6,1696.0,5423.8,2,5,3946.5,336.5,1,922.07,1987.7,1,1,1.0
1261700.0,1531.9,934.8,7160.0,1744.0,10,6,1040.4,527.68,4,2044.3,490.78,1,1,10.0
1277500.0,1055.9,5800.5,2360.0,6792.0,6,11,1147.2,271.22,4,801.53,2157.6,1,1,10.0
1297600.0,1018.6,932.7,5544.0,1304.0,9,4,1332.5,433.17,2,1750.0,422.44,1,1,10.0
1311000.0,2124.2,2018.5,608.0,6104.0,2,5,4838.6,304.43,1,248.9,2338.7,1,1,1.0
1326300.0,1338.4,1238.7,5760.0,1191.9,6,4,1725.2,535.2,2,1983.9,377.95,1,1,10.0
1340000.0,995.4,1841.4,944.0,5204.0,3,5,4199.7,225.4,1,320.26,2489.0,1,1,1.0
