TrialStart,S1_PlanTime,S2_PlanTime,S1_MoveTime,S2_MoveTime,S1_NMoves,S2_NMoves,TimeTarget,TimeNonTarget,NTargets,S1_MoveSTD,S2_MoveSTD,Feedback,Accuracy,Signal
2017.7,5156.5,1962.0,2792.0,1092.0,6,3,1256.2,333.95,1,897.95,680.16,1,1,1.0
17047.0,1331.9,1772.0,1728.0,2183.9,3,7,695.6,236.06,1,739.7,636.27,1,1,1.0
28323.0,1444.4,1037.2,2599.9,904.0,6,3,1122.1,305.45,1,903.41,293.78,1,1,1.0
38698.0,2769.4,3926.8,2399.9,2320.0,1,3,1376.6,511.2,1,,948.76,2,0,1.0
54228.0,3931.2,2139.6,7776.0,3040.0,15,8,572.05,449.28,8,2229.6,1229.1,1,1,3.0
75696.0,1130.0,2750.4,2600.0,5435.8,5,11,546.45,482.36,2,692.66,1621.9,1,1,3.0
92176.0,2566.7,1266.3,3760.0,795.9,8,3,1359.4,344.1,1,1143.2,250.0,1,1,1.0
104770.0,1010.0,3051.4,2568.0,4860.0,5,9,616.02,475.98,4,708.02,1279.2,1,1,3.0
120850.0,3790.6,1264.4,4640.0,1656.0,10,4,933.15,350.53,2,1471.4,567.4,1,1,3.0
136760.0,1263.8,1447.2,952.0,2488.0,2,5,1067.8,341.4,1,209.3,724.48,1,1,1.0
147190.0,2854.4,2844.0,9824.0,2392.0,6,3,5599.9,844.82,1,3467.1,1441.4,2,0,7.0
169390.0,1204.0,5073.6,1536.0,5492.0,3,5,3016.7,519.8,1,404.75,1667.8,2,0,1.0
186640.0,3725.5,3714.7,3736.0,2168.1,4,3,1538.4,1006.8,1,1065.9,484.37,1,1,1.0
204270.0,1785.8,3466.8,1424.1,4048.0,2,3,2555.3,1004.7,1,622.32,1639.5,2,0,2.0
219520.0,2295.5,3251.1,4136.0,667.8,5,2,743.7,840.1,1,876.01,265.87,1,1,2.0
234180.0,1109.7,1186.4,1656.0,3468.0,3,7,1506.3,290.74,1,583.95,1095.5,1,1,1.0
