TrialStart,S1_PlanTime,S2_PlanTime,S1_MoveTime,S2_MoveTime,S1_NMoves,S2_NMoves,TimeTarget,TimeNonTarget,NTargets,S1_MoveSTD,S2_MoveSTD,Feedback,Accuracy,Signal
2067.7,4489.3,1767.4,5896.0,2152.0,10,3,1066.2,541.71,1,1486.5,473.84,1,1,1.0
20433.0,2371.6,3360.7,2184.0,3360.0,3,7,1341.3,345.34,1,497.74,1053.7,1,1,1.0
35912.0,2856.9,1797.0,2664.0,1248.1,7,3,984.8,268.64,1,1108.8,410.36,1,1,1.0
48823.0,1386.6,1176.3,567.8,2528.0,2,3,1559.8,676.3,1,197.99,1004.9,1,1,1.0
58832.0,215.3,1849.1,7432.1,3259.9,11,6,795.88,586.77,4,2200.6,935.24,1,1,3.0
75796.0,1561.2,2386.0,2224.1,2368.0,1,3,1233.3,567.35,1,,834.57,2,0,inf
88540.0,3006.3,1906.2,7824.1,2071.9,12,3,2236.9,458.72,1,2411.7,1198.3,1,1,1.0
107090.0,1308.2,5934.9,2224.1,5923.9,5,9,728.95,567.05,4,736.87,1698.4,1,1,3.0
126440.0,885.4,2963.8,5184.1,3928.0,10,4,1085.0,370.01,2,1639.3,1282.2,1,1,3.0
143300.0,976.5,1872.8,823.9,3176.0,2,5,1645.4,412.87,1,373.35,965.15,1,1,1.0
154230.0,1265.2,1407.2,6968.0,5003.9,10,4,1887.8,406.94,2,2363.8,1965.3,1,1,8.0
173330.0,744.5,2296.5,3544.0,4800.0,6,5,1951.9,628.07,1,1223.7,1276.6,1,1,1.0
188670.0,935.9,2384.2,2824.0,1867.9,5,3,1359.5,325.47,1,1086.4,787.11,1,1,1.0
200470.0,1258.8,1688.0,1847.9,4564.1,3,5,1123.2,880.75,2,631.51,1307.3,1,1,8.0
213710.0,2043.8,1288.8,3159.9,792.1,4,2,1527.6,600.15,1,958.12,297.06,2,0,1.0
224740.0,1561.8,4133.6,1751.9,3652.1,3,7,1434.4,359.52,1,778.57,1158.7,1,1,1.0
240020.0,3213.3,2605.8,6719.9,2852.0,10,6,888.4,465.26,4,2097.0,885.05,1,1,3.0
259080.0,1131.0,1355.1,4048.0,5056.0,4,9,918.45,484.52,2,1300.8,1490.7,1,1,8.0
274990.0,1621.9,1952.0,3847.9,1656.1,7,3,1290.8,385.02,1,1251.9,661.75,1,1,1.0
288260.0,1274.0,1481.4,2623.9,3444.0,2,6,821.45,429.7,2,1374.5,996.58,2,0,10.0
301380.0,3598.4,2705.5,3031.9,780.0,5,2,1141.1,467.6,1,875.52,254.49,1,1,1.0
315160.0,2970.4,1048.6,1608.1,2172.0,2,5,908.8,339.73,1,809.0,657.46,1,1,1.0
327150.0,1938.6,2873.0,2552.0,1472.0,5,3,971.3,254.93,1,1122.4,288.23,1,1,1.0
340050.0,1884.6,2054.5,1623.9,3427.9,3,7,667.6,446.18,2,536.18,923.56,1,1,8.0
353290.0,3014.7,2241.3,2840.0,952.0,4,2,779.7,690.15,1,790.49,463.86,1,1,1.0
366640.0,3282.1,8747.0,7056.1,7288.0,6,10,835.35,490.12,4,2916.8,2160.4,1,1,4.0
397430.0,275.2,18247.0,7088.0,7048.1,5,9,,1417.6,0,5373.8,1978.2,2,0,inf
432140.0,2188.7,6251.8,5415.9,8559.9,6,14,806.5,525.44,5,2197.2,2368.5,1,1,10.0
459150.0,180.5,2082.6,6384.1,1652.0,6,4,984.7,1074.2,2,1686.3,555.17,2,0,10.0
474010.0,1174.1,6002.7,1127.9,3468.0,2,5,1703.3,493.57,1,560.03,1002.2,1,1,1.0
489910.0,935.0,1668.0,7720.0,2732.0,10,6,1089.8,560.16,4,2400.2,721.14,1,1,10.0
507490.0,1121.0,2738.9,2464.1,6459.9,6,11,723.95,534.68,4,760.64,2031.3,1,1,10.0
524450.0,1955.8,1285.8,3816.0,3572.0,6,4,953.35,431.07,2,1207.7,1330.3,2,0,10.0
538700.0,4360.0,2912.8,8935.9,2624.0,7,3,,543.95,0,3093.9,1075.5,2,0,inf
562030.0,2321.1,1708.6,5144.0,1793.7,7,4,1546.2,408.9,2,1832.2,615.73,1,1,10.0
577530.0,1494.3,3350.8,3336.0,5231.9,4,8,409.63,907.77,3,1252.9,1477.9,2,0,11.0
594980.0,1461.8,1109.6,6823.9,1983.9,12,6,738.15,490.19,4,2057.4,609.36,1,1,10.0
610170.0,2163.3,3741.8,5664.1,5576.1,8,8,627.05,807.6,2,1710.9,1696.6,1,1,11.0
