TrialStart,S1_PlanTime,S2_PlanTime,S1_MoveTime,S2_MoveTime,S1_NMoves,S2_NMoves,TimeTarget,TimeNonTarget,NTargets,S1_MoveSTD,S2_MoveSTD,Feedback,Accuracy,Signal
2032.8,1969.7,1900.7,3392.0,4504.0,6,3,1476.3,372.93,1,1173.4,2026.7,1,1,1.0
17731.0,1343.3,3432.0,2408.0,4456.0,3,7,1847.5,274.5,1,1113.7,1787.4,1,1,1.0
33494.0,2122.2,1332.4,3360.0,2676.0,6,3,1478.1,320.48,1,1204.4,1261.5,1,1,1.0
47005.0,2308.8,2756.0,1752.0,4215.4,2,3,2671.2,964.8,1,989.95,1743.4,1,1,1.0
61701.0,4593.7,1574.1,7104.0,2664.0,11,6,773.9,568.07,4,2368.2,837.55,1,1,3.0
81317.0,1569.0,6075.4,1920.0,8724.0,4,9,2292.2,507.93,2,668.83,2861.5,1,1,3.0
104170.0,4874.6,2226.7,6336.0,2368.0,8,3,2723.8,462.03,1,1968.8,704.92,1,1,1.0
124310.0,3097.4,4556.4,3336.0,9268.0,5,9,1012.0,1099.0,4,1102.9,2798.1,1,1,3.0
149160.0,3267.0,1304.7,6902.7,2736.0,10,4,1546.0,393.51,2,2264.7,1078.4,1,1,3.0
167820.0,16768.0,3389.0,3488.0,9176.0,1,5,901.7,2068.6,1,,6090.1,2,0,1.0
197250.0,6269.8,5555.7,9088.0,7404.0,10,5,1560.0,629.71,3,2480.8,2145.9,2,0,9.0
230990.0,4141.7,26228.0,5288.0,7388.0,3,7,2629.3,423.35,2,1898.5,2503.5,2,0,8.0
278050.0,6253.3,2816.6,5968.0,1932.0,4,3,3326.1,968.95,1,2241.1,785.32,1,1,1.0
299510.0,6209.1,4664.9,7192.0,2128.0,4,2,970.3,1157.7,1,1638.5,698.62,2,0,1.0
323500.0,7348.2,2112.2,6312.0,2104.0,5,2,1896.2,829.27,1,1642.0,899.44,1,1,1.0
345170.0,1461.8,2397.3,1152.0,5660.0,3,7,2723.2,437.76,1,419.37,1828.1,1,1,1.0
360050.0,4705.8,1403.8,7552.0,2724.0,10,6,1022.2,593.4,4,2632.6,789.71,1,1,3.0
380200.0,5069.6,4662.6,4400.0,9812.0,4,7,3884.4,408.62,2,1253.5,4073.2,2,0,10.0
408870.0,6418.0,2043.7,4464.0,2600.0,6,3,1899.2,443.2,1,1438.6,1214.2,1,1,1.0
428170.0,2205.4,3929.9,5472.0,3768.0,3,4,2495.9,298.05,1,2578.4,1474.8,1,1,1.0
447490.0,21567.0,1264.4,4528.0,1632.0,5,2,2498.3,471.23,1,1395.8,766.5,1,1,1.0
480920.0,7052.2,3317.6,3416.0,2244.0,3,2,756.5,1487.5,1,905.31,537.4,2,0,1.0
500700.0,2522.7,1228.7,4165.5,1412.0,4,3,2235.1,749.2,1,1490.9,487.96,1,1,1.0
513990.0,2696.5,2781.9,1552.0,8372.0,3,8,2718.3,512.68,2,624.63,2609.1,1,1,10.0
