TrialStart,S1_PlanTime,S2_PlanTime,S1_MoveTime,S2_MoveTime,S1_NMoves,S2_NMoves,TimeTarget,TimeNonTarget,NTargets,S1_MoveSTD,S2_MoveSTD,Feedback,Accuracy,Signal
2017.7,2712.5,1346.8,4232.0,2075.9,6,3,1379.8,559.02,1,1123.3,591.04,1,1,1.0
16930.0,1793.0,1595.0,1392.1,3780.0,3,7,1154.5,471.48,1,836.78,1004.4,1,1,1.0
29924.0,3744.9,1386.2,3615.9,2312.0,6,3,1146.3,459.43,1,1025.8,698.06,1,1,1.0
45254.0,2549.6,7782.7,672.1,6879.9,1,3,2444.7,3611.2,1,,1706.3,2,0,1.0
67689.0,2716.3,4371.7,3816.0,3032.0,3,2,376.1,1720.0,1,388.01,602.45,2,0,inf
85687.0,7989.0,4689.1,1808.0,3392.1,1,3,1007.6,1192.2,1,,873.85,2,0,inf
107220.0,2674.2,1292.5,8383.9,1900.0,8,3,4862.4,380.25,1,2775.5,660.98,1,1,1.0
125490.0,3529.6,1870.7,3112.0,9763.9,5,9,1166.5,1060.5,4,1754.4,2472.0,1,1,3.0
147490.0,4635.1,11476.0,5588.4,3148.0,10,4,978.65,435.29,2,1634.5,1262.2,1,1,3.0
176350.0,3095.8,5519.8,1256.0,4024.0,2,5,1320.8,787.77,1,299.81,867.85,1,1,1.0
193860.0,5183.1,3713.3,9808.0,7492.0,8,3,1531.9,920.12,4,2929.4,1916.6,2,0,10.0
224750.0,8764.2,14228.0,6512.1,6175.8,3,11,197.0,597.64,1,2584.8,1310.6,2,0,inf
264490.0,6895.2,5314.5,2872.0,3604.1,4,3,1436.8,589.6,1,1013.5,1473.9,1,1,1.0
286850.0,6300.7,8853.9,2824.0,6008.0,4,14,413.9,447.65,2,1445.1,938.54,1,1,18.0
314810.0,8052.0,3023.5,3080.0,3268.0,4,2,993.7,815.1,1,716.74,1719.7,2,0,1.0
336080.0,1788.6,10161.0,6648.1,6460.0,3,8,1876.4,677.95,1,3544.5,1996.4,1,1,1.0
365490.0,2736.4,2582.4,6967.9,3395.9,10,3,914.5,476.38,4,2159.0,1000.4,2,0,3.0
385200.0,2491.8,12117.0,4040.0,6588.1,4,18,516.35,309.56,2,1796.4,1411.9,1,1,18.0
414390.0,2879.1,3316.3,3016.0,2004.1,6,3,1012.6,432.88,1,825.94,601.76,1,1,1.0
429610.0,3145.4,6656.7,1671.9,4536.0,3,12,599.95,339.13,2,1291.9,1115.2,1,1,18.0
450190.0,3357.3,2377.7,2751.9,2223.9,5,2,992.1,434.6,1,703.33,1154.0,1,1,1.0
465020.0,1615.0,2475.3,1088.1,3352.1,2,5,1143.8,637.4,1,362.11,746.92,1,1,1.0
478150.0,3353.7,1556.7,2104.0,1731.9,4,3,1025.2,375.4,1,774.98,545.49,1,1,1.0
490610.0,1626.6,5055.9,2112.0,5416.0,3,13,435.6,405.68,2,958.73,1115.7,1,1,18.0
508710.0,2209.5,2142.1,2032.0,2112.0,4,2,883.6,338.2,1,660.42,1086.2,1,1,1.0
521150.0,5010.8,9332.9,8600.0,4379.9,7,3,1651.7,1364.1,1,3495.2,1042.9,2,0,inf
552890.0,2401.0,2509.0,6567.9,4923.9,15,3,624.4,423.26,2,1335.9,1818.3,2,0,17.0
572980.0,2188.0,9215.3,2728.0,6788.1,4,18,2264.0,261.0,1,1132.3,1762.7,2,0,17.0
598080.0,4340.6,2641.4,6952.0,6072.0,16,5,780.7,359.49,3,1838.0,1512.6,2,0,18.0
622000.0,3150.8,8384.1,1119.9,5124.0,1,5,1673.9,1012.7,1,,998.09,2,0,1.0
643850.0,4147.3,3454.0,6416.0,3439.9,14,4,907.1,400.16,2,1591.1,1139.0,2,0,17.0
665170.0,2619.7,12392.0,3432.0,7567.9,6,13,1159.4,419.71,2,1383.0,1804.4,1,1,17.0
695110.0,7084.2,3398.2,4183.9,5160.1,13,5,447.85,299.22,2,1037.6,1235.2,2,0,17.0
719480.0,1833.3,13489.0,2560.1,6540.0,4,13,960.65,414.27,2,1033.2,1558.5,2,0,17.0
748420.0,12955.0,1685.1,6744.1,2739.9,14,3,744.1,394.89,2,1666.1,1080.9,2,0,17.0
776160.0,3703.7,8420.2,5551.9,6527.9,9,14,795.37,376.59,3,2092.4,1862.0,1,1,17.0
804300.0,6069.3,1345.8,5624.0,3372.0,15,4,889.6,289.73,2,1533.4,1003.9,2,0,17.0
824670.0,3370.9,8466.0,9168.0,8128.0,10,23,642.22,265.94,5,2615.6,1978.1,2,0,18.0
858300.0,6519.5,1916.0,4288.0,2764.0,12,3,769.25,285.06,2,1131.4,6992.9,1,1,18.0
878010.0,2145.1,7684.6,2464.0,7632.0,5,27,517.75,227.5,4,963.65,2046.4,1,1,18.0
902180.0,3170.2,9630.4,4615.9,4808.1,13,3,792.8,275.83,2,1326.9,3493.3,2,0,17.0
928990.0,1932.5,7246.6,3648.0,7252.0,7,12,1003.7,531.62,2,1457.6,1636.2,1,1,17.0
952870.0,3619.9,3567.2,6152.0,2936.0,21,4,438.2,258.66,3,1638.7,620.98,2,0,18.0
973190.0,2780.5,7199.8,2552.1,6251.9,6,13,1337.0,329.39,2,1135.7,1906.3,1,1,18.0
995960.0,3841.0,2089.1,7272.0,2476.1,15,4,782.25,344.95,2,1870.5,796.22,1,1,18.0
1016200.0,1565.3,6690.2,3256.1,4648.1,6,3,1928.8,1751.2,1,1056.3,1478.7,1,1,1.0
1036200.0,5243.2,1863.0,4599.9,4308.1,12,4,787.6,291.64,2,1157.2,1205.4,1,1,18.0
1056500.0,1875.4,2886.4,960.0,3688.0,3,5,1781.3,500.87,1,390.82,1319.8,1,1,1.0
1070200.0,2872.2,1542.9,6120.0,4048.0,22,5,460.77,236.1,3,1612.3,947.87,1,1,18.0
1089100.0,2026.2,4733.3,1976.0,3816.0,3,5,1500.2,675.97,1,927.13,1156.9,1,1,1.0
1105900.0,4143.6,2097.9,2703.9,2776.0,5,2,1426.1,297.93,1,851.96,1385.9,1,1,1.0
1121500.0,3088.9,7965.8,3432.0,6700.0,4,17,660.05,321.14,2,1338.6,1395.6,1,1,18.0
1146900.0,2464.4,4473.4,4415.9,4808.1,14,3,679.2,251.77,2,1257.5,1352.1,2,0,18.0
1166700.0,1737.0,12038.0,1636.0,6944.0,4,15,1204.9,356.52,2,601.43,1544.5,2,0,17.0
1193400.0,5442.3,2850.6,4688.1,3732.1,14,3,715.75,267.68,2,1339.9,1122.9,2,0,18.0
1214700.0,2212.3,5848.7,6160.0,7528.1,6,14,1740.8,327.13,2,2151.5,1904.7,1,1,18.0
1241000.0,3831.4,4177.1,6726.9,2379.9,22,4,570.53,264.41,3,1861.1,1387.1,2,0,18.0
1262400.0,3340.4,2677.2,1512.0,4740.0,3,7,1737.0,531.82,1,877.42,1246.4,1,1,1.0
1279000.0,1142.7,1258.5,2432.0,1916.1,5,3,1117.4,342.2,1,863.99,434.26,1,1,1.0
1290100.0,1453.3,1140.9,1584.0,3683.9,2,5,1482.9,637.7,1,939.04,884.4,1,1,1.0
1302500.0,3205.6,2784.0,4423.9,1924.0,13,3,710.1,267.57,2,1252.2,788.64,1,1,18.0
1318900.0,2150.3,8308.9,2216.0,6688.0,5,22,607.53,248.74,3,752.23,1682.6,1,1,18.0
1342800.0,3925.9,1748.5,4480.0,1752.0,13,4,714.0,274.8,2,1234.6,530.03,1,1,18.0
1358800.0,1410.1,4647.9,2487.9,6111.9,5,12,1468.8,318.93,2,824.1,1585.4,1,1,17.0
1377200.0,5831.7,1098.6,4439.9,6020.0,13,6,791.85,264.02,2,1259.0,1889.7,1,1,17.0
1398400.0,1138.3,6450.9,1943.9,6935.9,5,21,726.5,267.06,2,685.47,1559.1,1,1,18.0
1418700.0,10248.0,2015.6,4991.9,3792.1,12,3,1019.5,297.88,2,1330.3,456.1,1,1,18.0
1444000.0,1574.9,5994.0,2311.9,7164.0,5,22,719.33,265.66,3,756.64,1869.9,1,1,18.0
1465300.0,4037.2,3483.2,5560.0,6844.0,13,5,811.15,355.36,2,1568.9,869.2,2,0,18.0
1489000.0,3909.3,4272.6,1004.1,3588.1,1,5,1725.2,502.3,1,,1012.8,2,0,1.0
1506000.0,5591.7,1625.4,4599.9,5576.0,12,6,947.55,275.64,2,1246.3,1106.0,1,1,17.0
1527600.0,1673.5,6797.3,2503.9,6463.9,6,13,1369.2,340.97,2,835.21,1775.3,1,1,17.0
1549200.0,2912.6,4343.3,5103.9,2308.1,12,3,825.7,351.61,2,1455.2,558.36,1,1,17.0
1568000.0,1044.7,1392.8,1376.1,4132.0,2,5,1651.1,517.67,1,808.93,1152.1,1,1,1.0
1580300.0,2247.0,5522.3,5159.9,2967.9,12,6,1086.3,285.7,2,1400.6,716.21,1,1,17.0
1600100.0,1490.8,9122.7,2016.0,6012.1,6,13,1035.8,368.84,2,646.24,1499.5,1,1,17.0
1623200.0,11072.0,8692.7,5720.0,2723.9,15,3,955.7,284.05,2,1608.4,2337.3,2,0,17.0
1655500.0,1448.0,4273.8,2000.0,3352.1,5,3,1859.8,1048.3,1,705.69,1813.3,2,0,1.0
1670500.0,2204.8,1571.4,6112.0,5264.0,12,6,1235.9,358.26,2,1614.9,1832.2,2,0,18.0
1689400.0,1388.5,3698.4,1968.1,4816.0,3,5,2849.2,530.27,1,914.33,1880.7,1,1,1.0
