TrialStart,S1_PlanTime,S2_PlanTime,S1_MoveTime,S2_MoveTime,S1_NMoves,S2_NMoves,TimeTarget,TimeNonTarget,NTargets,S1_MoveSTD,S2_MoveSTD,Feedback,Accuracy,Signal
2017.7,3661.7,953.2,3552.0,1332.0,6,3,1292.9,378.8,1,1167.8,458.26,1,1,1.0
15629.0,1194.4,1153.4,1295.9,3855.9,3,7,1406.7,340.28,1,412.32,1193.3,1,1,1.0
27122.0,3162.2,1360.2,3295.9,2064.1,6,3,1463.2,380.2,1,1172.4,858.83,1,1,1.0
41200.0,1402.2,2155.6,3624.1,3408.0,3,3,1693.8,1098.1,1,436.01,1199.5,2,0,1.0
55546.0,8332.8,1242.3,6080.0,4443.9,11,5,1005.7,406.71,3,2068.9,1334.6,2,0,11.0
79582.0,2674.0,3909.4,5672.1,6199.8,4,9,1064.8,533.02,2,2057.4,1838.4,1,1,3.0
102400.0,4427.4,4428.4,4696.0,2636.0,5,2,1077.2,732.25,3,1583.9,1173.8,2,0,3.0
122380.0,3382.7,2744.0,4751.9,6052.0,6,9,704.4,580.6,4,1854.1,1839.7,2,0,3.0
143250.0,4093.0,2376.3,1552.0,1052.0,3,2,389.6,581.2,1,524.01,461.03,2,0,3.0
156600.0,1664.1,3726.1,1712.0,4204.0,2,5,1864.5,532.8,1,876.81,1247.6,1,1,1.0
171990.0,2725.3,5969.2,7999.9,9263.8,13,4,2120.5,512.67,1,2279.7,3664.2,1,1,18.0
202120.0,3752.6,5609.3,1912.0,8756.0,3,11,1624.9,577.77,2,1219.0,2110.8,2,0,16.0
225840.0,2963.3,4136.1,4111.9,2579.9,5,3,1518.8,717.7,1,1165.1,1920.1,2,0,1.0
243720.0,1494.0,2420.0,1680.0,9536.1,3,11,1756.3,497.59,3,620.04,2035.8,1,1,16.0
262630.0,3420.1,1663.3,8008.1,1940.1,7,3,1752.3,725.03,3,2844.4,791.09,2,0,3.0
281620.0,1092.2,2115.0,1256.1,4264.0,3,7,1864.7,381.46,1,449.02,1313.8,1,1,1.0
294390.0,6201.7,2132.7,8087.9,3916.0,10,6,1173.3,542.92,4,2743.2,1580.5,1,1,3.0
318730.0,1479.5,2509.3,3496.1,8948.0,4,11,1873.5,497.6,2,1169.1,2380.2,1,1,16.0
338910.0,2898.2,2228.3,4040.0,1480.2,6,3,1557.3,420.68,1,1346.2,1014.4,1,1,1.0
353360.0,2167.6,1661.8,1256.0,6375.9,3,10,1506.4,360.46,2,927.47,1726.9,1,1,16.0
369320.0,2636.7,1472.5,3295.9,792.1,5,2,1806.2,363.27,1,1036.4,376.18,1,1,1.0
381620.0,1655.7,114.9,1312.0,3624.0,2,5,1902.6,416.47,1,684.48,1107.1,1,1,1.0
392010.0,4419.0,2124.6,3224.0,1128.0,4,3,1781.1,593.4,1,1192.2,412.88,1,1,1.0
406540.0,1503.2,3080.2,1552.0,6984.0,3,11,1505.8,370.56,2,591.31,1840.3,1,1,15.0
423280.0,5924.1,1683.8,3008.1,1336.0,4,2,1795.4,478.3,1,1049.1,325.27,1,1,1.0
439360.0,3294.9,2589.4,1239.9,8488.0,3,11,2024.3,462.93,2,420.51,2248.9,2,0,16.0
458880.0,3296.1,1643.0,3056.1,1444.1,6,3,1309.0,354.77,1,1014.0,607.61,2,0,6.0
472590.0,1279.9,7791.5,3800.0,7623.9,6,15,609.33,405.08,3,1079.5,1749.1,1,1,15.0
497450.0,2124.8,1126.8,2872.0,580.1,4,2,1650.2,466.95,1,993.31,214.96,2,0,1.0
508370.0,4681.1,2352.8,4864.0,3560.0,3,5,2112.1,339.97,1,1476.3,1230.5,2,0,1.0
527770.0,3506.1,1820.5,3239.9,1068.0,3,1,556.5,1341.7,1,683.52,,2,0,1.0
541970.0,1411.5,4326.2,4360.0,6663.9,6,19,563.95,284.01,4,1452.6,1810.3,1,1,15.0
562770.0,2881.0,1671.5,3080.0,1340.0,4,2,1862.4,460.8,1,1088.3,678.75,2,0,1.0
576230.0,1451.3,2786.1,2360.0,5951.9,5,13,897.17,275.6,3,766.03,1717.0,1,1,15.0
592370.0,2898.8,1393.2,1600.0,996.0,3,1,694.6,452.7,1,514.75,,2,0,1.0
603320.0,1319.4,1806.8,2280.0,6936.0,5,16,802.1,282.87,4,711.18,1985.2,1,1,15.0
619310.0,5630.6,1711.8,8984.1,2928.0,15,5,1549.7,367.91,3,2767.2,955.29,2,0,15.0
642470.0,1225.7,1633.4,5663.9,6044.0,5,12,1008.8,294.2,3,2047.1,1661.8,1,1,15.0
661000.0,2088.4,2253.1,7640.1,3072.0,9,3,1614.8,584.4,2,2314.5,1452.9,1,1,15.0
680180.0,1208.1,2926.1,1928.0,6780.0,5,14,1026.1,319.78,3,593.0,1995.5,1,1,15.0
696890.0,3651.0,1518.3,5528.0,1995.8,9,4,1301.9,391.38,2,1707.1,773.52,1,1,15.0
714030.0,1249.2,2687.6,1824.0,8096.0,4,16,940.67,310.3,4,623.01,2199.1,2,0,15.0
732290.0,1269.5,1125.7,7288.0,2168.1,13,5,1225.6,323.03,3,2120.7,774.35,1,1,15.0
748040.0,982.4,5398.5,2128.0,5036.1,4,9,1290.6,284.47,2,858.63,1558.7,1,1,15.0
